id,comment,program,time,love,play
Dobu, dld님👏👏👏👏👏,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
jan, 전 졸업한지 넘 오래되서 기억이 가물가물,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
dld, 아 진짜 수강신청하는기분 ㅎㄷㄷ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
jan, 추카추카~~,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
뱅쇼, 돌려보기 하고 왔어요~핸메 스티치코트가 사이트 사진 색상(좀 더 깊은 색상)과 라방에서 보는 색상이 살~짝 다른데 어디가 실제 색상에 더 가까울까요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
슬구, 판쵸 카멜도 예뻐요! 전 카멜파,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
greenery, 계속 클릭했는데,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
greenery, ㅠㅠ 디피상품 안되요?,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
찌미, 엠 사사이샀어요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
꼬꼬마, 베이지를 1부때 살걸그랬나봐요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
꼬꼬마, ㅎㅎㅎ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
dld, 정말 손떨리는긴장감 여기서만 느낍니다 후하,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
찌미, 나이드시분인데,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
Dobu, 저 트렌치 패딩에 샤스커트입고 시댁다녀왔어요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
greenery, 취소분 나면 말씀해주세요 판초,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
찐찐, 77사이즈 저희 어머니 라지 딱 좋았어요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
찌미, 라지로주세요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
찌미, 취소해야하나요?,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
jan, 여기는 이런게 좋더라구요~~한명한명 다 진심 응대해주시더라구요~~,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
Dobu, 샤스커트 안하셨던분들 진짜 이불킥각이여요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
shin, 와...저 방금 럭키박스받았는데...이사님 픽 대박이네요~ 취향 귀신같이 꿰뚫어보시나봐요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
꼬꼬마, 판쵸베이지는 아예 안들어오는거에요?,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
슬구, 전 골반넓이때문에 샤스커트 플리츠스커트 다 이상한 ㅠㅠ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
greenery, 속상 ㅠㅠㅋ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
Dobu, 슬구님 마르셨는데ㅠㅠ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
Dobu, 샤스커트 진짜 브랜드랑 비교해도 👍👍👍,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
꼬꼬마, 아 그렇구나ㅜㅠ 안들어오는구나,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
슬구, 샤ㅐ스커트 리뷰보러갑니다,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
꼬꼬마, 그럼 우회해야쥬~~~ 소리님 판쵸카멜입어봐주세요ㅎㅎㅎㅎ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
jan, 참 따로 구매하고 싶은데 혹시 될까요~~니트 조끼에 코디하고 싶어서요~~리뷰엔 제꺼 브로치올렸거든요…,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044225,"2,752","1,677"
jan, 안되면 다른 상품때 올려주셔요~~,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044251,"2,752","1,681"
Dobu, 잔님 브로치 진짜 예쁜거 받으셨더라구요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044251,"2,752","1,681"
jan, 박시제킷이요~~,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044251,"2,752","1,681"
슬구, 이사님 방금 또 사고 일으키실뻔 하셨다,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044342,"2,752","1,691"
jan, 나중에 브로치 구매할수있는ㅊ상품 연결해주셔요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044342,"2,752","1,691"
뱅쇼, 사이트에 헨메 스티치 코트 카키베이지는 좀 더 어두워 보이는데 라방에서는 베이지 같아 보여요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044342,"2,752","1,691"
jan, ㅋㅋㅋㅋ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044407,"2,752","1,697"
jan, 리뷰 브로치는 제꺼예요~ㅋ오해생길라~~,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044458,"2,752","1,706"
Dobu, 박시자켓이 아직 남아있다.......,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044458,"2,752","1,706"
Dobu, 남아있네요..?!,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044524,"2,752","1,710"
뱅쇼, 실제 색상은 사이트보다 밝은 거죠?^^,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044524,"2,752","1,710"
Dobu, 7분 남았고.. 아직 품절전이고..,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044524,"2,752","1,710"
뱅쇼, 안 입으셔도 되어요~구매하러 가요...총총총,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044550,"2,752","1,715"
슬구, 도부님 ㅠㅠㅠㅋㅋㅋㅋ,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044550,"2,752","1,715"
미니마미," 코듀로이 지금 입으신거는 무슨색인가요, 네이비 밖에 없던데 요 색 구매 어려운가욥?",한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044550,"2,752","1,715"
꼬꼬마, 소리님~~~ 판쵸~~~ 지금입으신 셔츠위에 입어봐주셔도 될까요?,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044615,"2,752","1,721"
Dobu, 블랙은 드마반크롭만 있는것같고...,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044615,"2,752","1,721"
Dobu, 🤔🤯😤,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044703,"2,753","1,733"
꼬꼬마, 오늘 바쁘시다요,한파대비🍰비교불가_프리미어__아우터_대박_할인전💖2,2021-12-20_044703,"2,753","1,733"
