id,comment,program,time,love,play
yuhalove, 김경호님,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 모태간디는 모델이 되었다,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, 💣💣💣 💥💥💥,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 들들 끓는 양은냄비 김경호,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 꽃봉오리 합창단 출신 아니야,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, 왜 이러세요 두분?,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 허벅지 안붙으면 장땡이죠,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
쭈야, 찐자매시랍니당~~~~^^,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, 디스 타임 ?,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, ㅋㅋㅋㅋㅋㅋ,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 어 나 거기알듯.,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 비만계면 나도 알쥬,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 숫자가제목인 병원?,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, ㅋㅋㅋㅋㅋㅋ운명의 장난인가ㅋㅋㅋㅋㅋ,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 완전 구라네 거기,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 모태간디를.,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, 🤣🤣🤣🤣🤣,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 모태간디가 시술 전후라니.....,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 팔은 효과 좋다던데.어때요?,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
쭈야, 저도 팔뚝살을좀떼어내고싶어요,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
쭈야, 팔이유독 굵어요ㅠㅠ,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 나도 팔ㅜㅜ 옷핏이 안살아.,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마," 저 결혼 두달 전에 갔는데 이미 늦었다고, 효과 없다고 돈 쓰지말라고 하셨어요ㅋㅋㅋㅋㅋㅋㅋ",홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
쭈야, 전혀아닌디ㅠㅠ,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
쭈야, 거기는 트리플aaaaa,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 두달 전인데 멍만 든다고 제 돈을 아껴주셨죠....,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
까사블리, 멍이 3개월이나 가요?,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
낙타마, 어우 고급져요❤️,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 지방흡입은 아니었나보다.,홀리엘의_쇼핑라이브,2021-12-20_044211,"4,635","3,850"
yuhalove, 팔 지방흡입은 요요도 잘 안온다던데.,홀리엘의_쇼핑라이브,2021-12-20_044238,"4,768","3,854"
낙타마, ㅋㅋㅋㅋㅋㅋㅋㅋ시술에 진심인 자매,홀리엘의_쇼핑라이브,2021-12-20_044329,"4,900","3,867"
쭈야, ㅎㅎㅎ,홀리엘의_쇼핑라이브,2021-12-20_044354,"5,019","3,875"
낙타마, 색감 진짜 고급지고 엄청 편해보여요,홀리엘의_쇼핑라이브,2021-12-20_044420,"5,044","3,882"
yuhalove, 밥많이먹어도 티안나는 원피스,홀리엘의_쇼핑라이브,2021-12-20_044445,"5,044","3,886"
까사블리, 언니분 입으신 컬러가 코코아?,홀리엘의_쇼핑라이브,2021-12-20_044537,"5,062","3,893"
낙타마, 언니분 밤 라방에서도 만나요👋👋,홀리엘의_쇼핑라이브,2021-12-20_044537,"5,062","3,893"
yuhalove, 수욜에만나요~🖐🖐,홀리엘의_쇼핑라이브,2021-12-20_044537,"5,062","3,893"
쭈야, 오늘도 고생하셨습니다~~^^,홀리엘의_쇼핑라이브,2021-12-20_044603,"5,072","3,899"
까사블리, 👋👋👋👋👋👋,홀리엘의_쇼핑라이브,2021-12-20_044603,"5,072","3,899"
