id,comment,program,time,love,play
재밌게살자, 반가워요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053101,0,"5,017"
나는나, 안녕하세요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053245,0,"5,037"
재밌게살자, 너무 신나보이세요~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053338,0,"5,049"
나는나, 또 왔어용^^,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053404,48,"5,052"
나는나, 안추우세요?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053430,55,"5,056"
나는나, 어제 맞아용,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053522,60,"5,063"
이은섭, 우와 너무 맛있을거 같아요!!,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_053758,110,"5,093"
유단자, 안녕하세요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054009,120,"5,149"
유단자, 예뻐영,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054009,120,"5,149"
재밌게살자, 제주도 감귤 짱,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054009,120,"5,149"
여우, 이제 들어왔는데 보자마자 바로 주문요.맛있게드셔서~^^,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054243,128,"5,290"
왕방산간첩, 오,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054427,128,"5,389"
혼자옵서예, 진짜 제주도이신가요?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054453,128,"5,410"
해별달구름, 달아요??,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054453,128,"5,410"
혼자옵서예, 현장 구매 가능한가요?!,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_054453,128,"5,410"
밤밤, 안녕하세요~ 혹시 쇼핑라이브시간대에만 가능한 판매가인가요~?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_055030,148,"5,714"
해별달구름, 구매완료요 맛있는거로 보내주세요 ^^,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_055611,148,"6,011"
배려, 맛나보여요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060238,148,"6,305"
낮도깨비, 우와 배경 좋네요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060238,148,"6,305"
유단자, 안녕하세요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060538,150,"6,421"
유단자, 반가워용ㅇ,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060602,150,"6,437"
당면만듀, 혼합용 10키로 주문했어요. 신선하고 맛있는 귤로 부탁드려요.🥰,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060628,150,"6,452"
유단자, 안녕하세요~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060628,150,"6,452"
블루크린, 안녕하세요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060654,150,"6,467"
블루크린, 네이버 메인이라서 보구왓어용,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060719,150,"6,483"
블루크린, 귤맛있나요??,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060719,150,"6,483"
블루크린, 언제발송되나요?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_060836,150,"6,523"
블루크린, 구매인증합니당,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061020,312,"6,587"
블루크린, 2021122050241421 마니파세요~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061045,412,"6,601"
신데렐라, 대박!,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061045,412,"6,601"
상추, 쥬스용은 파치에요 !!?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061112,552,"6,611"
바할, 기대합니다.,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061229,552,"6,651"
lee, 맛있겠어요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061255,552,"6,666"
재밌게살자, 껍질 되게 얇고 좋네요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061439,555,"6,722"
아푸로, 싱싱하네요~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061439,555,"6,722"
아푸로, 맛있겟어요~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061439,555,"6,722"
루비, 안녕하세요~~~,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061716,623,"6,775"
재밌게살자, 라이브순위 4위예요 대박 👍 역시 맛있는 감귤은 다른가봐요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061716,623,"6,775"
루비, 귤 정착을 못했어요 ㅠㅠ,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061742,623,"6,777"
루비, 12월 귤은 흔히들 달다고 하시던데 ㅠㅠ 전 아직요 못만났어요 ㅠㅠ,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061808,623,"6,781"
신데렐라, 요기 귤 진짜 믿고 먹어용~~♡♡,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061834,623,"6,782"
신데렐라, 라방만 기다렸어요!,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_061900,638,"6,787"
해별달구름, 2021122049979221 구매했어요 10kg~~~!!,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062111,638,"6,801"
굿모닝, 오오,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062347,731,"6,825"
신데렐라, 체험학습도 넘 좋을 것 같아요~~~~~^^,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062530,"1,004","6,834"
눈꽃요정, 2021122050783831구매내역 10키로 구매했어요,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062557,"1,004","6,835"
눈꽃요정, 설명 정말 잘해주시네요^^,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062623,"1,004","6,836"
눈꽃요정, 배송은 언제보내시나요?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062649,"1,084","6,840"
신데렐라, 받는 날짜 지정 가능한가유?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062807,"1,159","6,854"
눈꽃요정, 택배사는요?,🍊제주감귤농장🍊생방송_가격파괴,2021-12-20_062833,"1,159","6,861"
