id,comment,program,time,love,play
낮도깨비, 컬러마스크 좋네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060613,91,"9,323"
lin, 이번에는 안저렴하나요???,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060639,108,"9,339"
미소녀건반, 에어에이드 방송 오랜만에 들어와봐요 ㅋㅋㅋ,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060639,108,"9,339"
songglass, 칼라풀하네요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060704,108,"9,355"
songglass, 색다르네요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060704,108,"9,355"
미소녀건반, 보라색 넘 찰떡이시네요 ㅋㅋㅋ,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060704,108,"9,355"
red, 새부리형 마스크♡♡,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060756,128,"9,378"
lin, 가격이 저렴해서좋았는데 올랐네..ㅜㅜ,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060821,128,"9,393"
마른딘, 이뻐요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060821,128,"9,393"
마스크낸나, 색이 너무 이쁘네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060847,128,"9,406"
yle, 컬러 마스크올 ㅏ우,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060913,133,"9,415"
yle, ㅇ굿자 ㅂ,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060913,133,"9,415"
오잉, 호스트 분들도 너무 이뻐요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060913,133,"9,415"
오잉, 굿굿,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_060939,133,"9,428"
수니, 워~이쁘네요 컬러가,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061005,133,"9,439"
이쁜알, 다른색도써주세요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061005,133,"9,439"
sbsnks, ㅋㅋㅋㅋㅋㅋㅋㅋ에어에이드 짱,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061030,133,"9,454"
kdfjnn, 우왕,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061056,133,"9,469"
이쁜알, 브라운궁금해요 그레이 퍼플 그린은 쓰고있어요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061120,133,"9,479"
하이, 에어에이드 마스크는 숨 쉬기 편해서 좋아요👍,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061120,133,"9,479"
그린, 에어~에이드~너무 좋아요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061120,133,"9,479"
lee, 기대해요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061146,133,"9,494"
그린, 우오~좋은데요?,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061146,133,"9,494"
바할, 기대해요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061146,133,"9,494"
뀨뀨뀨, 지금도 에어에이드 마스크 하고 있어용ㅎㅎ,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061146,133,"9,494"
방역용품구매, 이쁩니다,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061212,133,"9,503"
layt24, 저도 구매해서 쓰고있는데 너무 이뻐용,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061238,133,"9,510"
asds2, 컬러는 에어에이드 못따라오쥬~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061304,133,"9,519"
뀨뀨뀨, 넘 잘 어울리세용!,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061304,133,"9,519"
싱그러움, 알람 설정 완료,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061330,133,"9,526"
싱그러움, 하트 폭탄 갑니다,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061356,178,"9,538"
sexy486csy, 안녕하세요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
sexy486csy, 색상이 너무 예쁘네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
유유, 좋네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
sexy486csy, 제가 좋아하는 버건디,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
진주또리, 안녕하세요.,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
꾸주임, 안녕하세요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
진주또리, 색상이 너무 예뻐요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
꾸주임, 근데 화면이,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
진주또리, 얼굴이 엄청 환해요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
꾸주임, 이상하게 깨져보여요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
jsdnklbdd, 좋아요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
꾸주임, 저만 그런가요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
dory, 구매했어여:),🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061422,178,"9,550"
ddd888, 이쁘네요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061448,181,"9,559"
아푸로, 마스크 컬러 다양하네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061448,181,"9,559"
아푸로, 못보던 컬러도 많아 좋네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061514,278,"9,565"
일자리안정, 잘 만들었어 정말!,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061514,278,"9,565"
단톡, 굿이에요 굿~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061540,341,"9,577"
하이, 베이지 컬러 궁금해요~~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061607,392,"9,586"
단톡, 컬러 너무 이쁜 에어에이드~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061607,392,"9,586"
마음이 좋아, 호스트 분들도 너무 멋지고 이쁘네요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061633,392,"9,592"
몬고, ㅎㅎㅎ이뻐요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061658,402,"9,605"
이쁜알, 너무 잘쓰고있어요^^퍼플 그린 그레이 쓰는데 브라운 궁금해요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061658,402,"9,605"
모든것, 정말 다른 마스크컬러랑 비교될 정도로 이뻐유,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061725,402,"9,614"
이쁜알, 지금들고있는색상카키인가요,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061751,402,"9,622"
마스크마스터, 에어에이드 컬러는 이제 알만한 사람들은 다 알쥬~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061751,402,"9,622"
마음이 하아, 색깔 정말 이쁘게 잘 만들었네요~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061843,402,"9,647"
엔터테이먼트방, 대량 구매 고민중~,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061909,402,"9,658"
이쁜알, 영훈님 손에 들고있는색상 카키인가요?,🎄연말에는_컬러_마스크로_다채롭게_KF-94🎄,2021-12-20_061909,402,"9,658"
