id,comment,program,time,love,play
후니, 와,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
후니, 만나서 반가워여,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
뚱이강이, 안녕하세요^^,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
뚱이강이, 효소 넘나 필요해서 들어왔습니당,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
아니야, 안녕하세요~~,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
서아맘, 안녕하세요~,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050121,5,"5,397"
아니야, 애기가 아니라고 하다니ㅠㅠ너무 귀엽네요ㅠㅠ,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050146,61,"5,403"
opq14, 앙녕하세요,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050146,61,"5,403"
뚱이강이, 청담할머니 유명하대서,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050146,61,"5,403"
opq14, 효소 좋아여,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050213,81,"5,410"
뚱이강이, 궁금하네용 ㅎㅎㅎ,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050213,81,"5,410"
행복가득, 저번에 사서 잘마시고 있어요,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050239,104,"5,415"
뚱이강이, 패키지도 귀엽네용 ㅎ,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050305,172,"5,421"
차차, 안녕하세용~~!!오늘도 방송알림 보구 놀러왔지용!!!,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050331,182,"5,430"
행복 ing, 보틓,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050331,182,"5,430"
뚱이강이, 안녕하세요,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050331,182,"5,430"
낮도깨비, 안녕하세요,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050331,182,"5,430"
순돌성탄, 당뇨남편도 같이마셔도될까요???!,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050357,210,"5,441"
차차, 그묘일 주문하고 오늘 수령해서 2리터 시작입니댜!!!!!,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050357,210,"5,441"
행복 ing, 보틀은 따로 구매 해야되나요?,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050357,210,"5,441"
차차, 오늘도 제이름 마니불러주세용😆😆ㅎㅎ,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050422,216,"5,446"
겨울이좋앙, 설명이 귀에 쏙쏙들어옵니당 ㅎㅎ,📣발효효소!!_골드워터_라이브_초특가📣,2021-12-20_050448,251,"5,452"
