id,comment,program,time,love,play
자가격리만3번째, 맞아요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 와~~~,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
미운오리달새롬, 당류,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
5sj, 반갑습니다,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 무료새벽배송이라니👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
미운오리달새롬, 저당두유,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 새벽배송~~👏👏,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
kms545477, Dd,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 와우👍👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
5sj, 👍👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 혹시 로켓타고오는건가요?,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑이여, 무배무배 감싸해요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 한정수량이네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 키토선생 좋네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 소문좀 내고 올게요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
인어피스, ㅎㅇㅎㅇ,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
hee, 맛있겠다 짱짱,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
ban, 와우~~2,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 와 혜택 조아요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 헉 한정수량 목숨걸죠♡,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 혜택이 대박👍👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 와우~~^^,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 혜택 좋아요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 1000박스 금방 소진되죵,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 소이비랩 맛날 것 가타요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
정종란, 답~86,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
ban, 대박,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
독고탁, 유통기한이 어떻게 되나요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑이여, 오늘도 1000박스 한정이라 빨리 구매해야,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 대박,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 고민은 배송만 늦출뿐,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 우와~~~~,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 소문은 미리 내고와야지요👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 예뻐요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 줄넘기도 예뽀요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
ban, 저당두유화이팅!!!!,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
min, 미리구매도 이벤트 혜택있나요?,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 뭘 이리계속 주세요?,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 고퀄리티네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑이여, 와우 와이너 줄넘기 받아야죵,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 고급지네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 헉,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 키토선생 짱짱맨,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 고퀄리티 사은품👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 워메워메,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
cedrchang, 구매완료~~^^♡,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
독고탁, 너무 예뻐요..,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 무한 증정!,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 아니 이렇게 계속 주시고.또주지고하셔도되는건가요?,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 무한으로 ~,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
콘치즈, 역시 키토선생이네요~,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 헉,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 저당두유 먹고 운동까지..와~~~👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 다 퍼주시네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
ban, 와우~~~,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 신박한 이벤트네요👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 최고네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 이벤트도 남다르네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 역시 키토선생👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 이벤트 맛집이에요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 퀴즈까지♡,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 진짜 좋아요👍👍👍,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
로베즈, 오...,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑이여, 전구매자 핸드폰 번호 같음 다주는거죠,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 오~~너무 좋아요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 기대됩니다,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
로베즈, 좋아 보이네여,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
cedrchang, 세박스~ 가즈아~ ㅋㅋㅋㅋ 구매인증,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 완젼완젼 퍼주시네요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
ban, 키토선생님~~~~넘좋아,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
재간둥이, 선물이 대박,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, 자가격리중인데 정말 오늘 멍이득방송 감사합니다♡,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
자가격리만3번째, ㅋㅋ,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
로베즈, ㅋㅋ 이거 맛있더라구요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
사랑사랑사랑, 다양한 혜택이 있어요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 돈쓰고 돈벌어가는 느낌적인 느낌이랄까요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
Esther, 넘 좋다,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
요술공주밍키, 와~~~~♡♡♡,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
미운오리달새롬, 소통왕 이벤터,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
미운오리달새롬, 좋아요,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
로베즈, 자가격리 ㅋㅋㅋ,[45%할인]_당류_86%↓_달콤한_소이비랩_저당두유,2021-12-20_094133,"2,119","58,971"
