id,comment,program,time,love,play
뽀이뽀이, 넘 좋아요!!퍼짐도 없고,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 그정도로 써진 않죠ㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
1i, 좋아요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 불편함도 없나보네요😍,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
커피한잔, 실용적이네요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
부끄부끄뚱, 일화용패드 없어도되니 가성비 갑이네요👍,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
단아, 배변패드는 푹신해서 그런지 자꾸 쿠션처럼 사용해서 독톡 구매했어요 ㅠㅠ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
윤연수, 색이 변질이나 벗겨지나요?,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, ㅋㅋㅋㅋ 아가도 잘 쓰네요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
오징어 튀김, 대박..ㅎㅎ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
부끄부끄뚱, 갖고가기도 너무 좋넹ㅅ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
sk2, 구매했어요!!! 2021122054848951,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 우와 엄청많이 들어가네뇨ㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
하늘하늘, 대박,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
부끄부끄뚱, 진짜대박인것 같아요~,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
오징어 튀김, 악취가 날 수 없겠어요~,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 넘 간폌해요👍👍,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
카페라떼, 방송 혜택 좋아요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
부끄부끄뚱, 애견인들의 마음을 잘 알아주는 제품이네요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
윤연수, 흰색 배변판 사용하다 색변질있은까요?,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
아이코야, 정말 좋네요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 우와 밀림도 없고 넘 좋네요😍,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
별사랑, 좋아요,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
아자아자, 편하겠네요~~,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
꼬맹이, 구매인증❤️❤️❤️❤️❤️너무편하고 가성비갑 👍👍👏👏,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 편하고 가볍게 버릴 수 있겠네요~~,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
오징어 튀김, ㅋㅋㅋㅋ맞아여 ㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
단아, ㅋㅋㅋㅋㅋㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
뽀이뽀이, 우와 넓게싸네요ㅋㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
오징어 튀김, 공감ㅋㅋ,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
꼬맹이, 하나는̆̈ 씻고 말리려고 1+1구매했어요 ~ ✌️✌️,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
rea, 배변판이,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
rea, 교육잘하면,[금주의펫픽]독톡_배변판+신제품_⭐특가⭐,2021-12-20_094258,"35,157","20,902"
