id,comment,program,time,love,play
곰돌이, 96000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 99000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
듀, 98000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
kimjr2020, 96000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 😃😃😃😃,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 👏👏👏👏👏👏👏👏,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 😭,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 아 아숩,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 이햐,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 오예~~~~~~,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 👏👏👏👏👏👏👏👏👏👏,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 👍👍👍👍👍👍,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 오예~!!!불고기담에사야겟더용 ㅋㅋ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 진정한 왕손이십니다♡♡,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 🎇✨🎆🎆🎆🎆🎆🎆🎆🎆🎆,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 바로만들ㅇㆍ주데용,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 경매 끝난건가요?,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
복댕이서아맘, 축하드려용~~~,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 1차 경매 종료요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 2차 3차 남았어용,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
오션러버, 500,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 아님 또 남았어요?,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 구매했어용!!!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
오션러버, 84500,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
오션러버, 91000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
강강쮸, 경매가 뭐예요?,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
오션러버, 97500,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 맛이야 말해 모해♡,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 너무 맛나자나용,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
이카루스, 이런날 많이 드세요~~~🤗🤗🤗,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
강강쮸, 보섭살 없네요ㅠㅠ 육전 엄청 좋아하는데....,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
윷요미, 오늘 경매 구성은 이거 뿐이에요? 다 똑같아요?,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, ㅋㅋㅋㅋㅋㅋ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
gra, 맛있겠어욤!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 고기에 진심인 쇼호님,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
윷요미, 어제 안심 주문해서 오늘 오고 있는데 또 사게 생겼군요..,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
듀, 🥺🥺🥺,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 넘 맛있게 잘 드시네용~,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
윷요미, 윷놀이할때 윷놀이 맞아여...,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
윷요미, 윷놀이 넘넘 좋아해서.... ㅇㅅㅇ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 말모말모,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye," 저 포장박스 분리수거하러갈때 마다 넘쳐난다는 사실,",[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 스킨포장 넘 좋아요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 냉방보관 30일!!!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
복댕이서아맘, 월요일 알람 맞춰놓고 항상 쟁여놔요ㅎㅎ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 역시 미경산 대표님!!!!!!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 냉장보관,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 물량을 풀어주실 수 있는 능력자!!!!!!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 대표님 쵝 ~~오👍,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 역시나 미경산 대표님은 올해 진정한 산타이십니다🎅,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 오예,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
낮도깨비, 안녕하세요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 리뷰 가득 올렸습니다 꼭 봐주세용♡♡,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
까사블리, 🎄🎅🎄🎅🎄🎅🎄🎅🎄🎅🎄🎅🎄🎅,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
뽀르뽀르, 좋아요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 미경산 대표님이 🎅 🎅 🎅 🎅 🎅,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 멈추지마요?ㅎㅎ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 더는 눈에 띄지않는.. ㅎㅎ나의 댓글,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
듀, 미경산타대표님🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 역시 소호스트님^^,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 마늘 들어가고,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 아스파라거스 들어가고,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 버터 좀 넣어주시고ㅎㅎ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
슬, 너뮤 배고파여...,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 꾸버꾸버♡♡♡,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
오션러버, 미경산 자주 주문해서 먹는데 오늘 라이브 넘 좋네요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
김희경, 경매뭐에요 ?,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
kimjr2020, 요즘 미경산 고기 먹고 고기에 더 관심 많이 갖게 되었어요,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 애델꼬보기넘힘드네영 ㅋㅋ경매당첨되서 넘좋네유,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 일단 구매완료!!!!!!,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
듀, 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 가보자,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 경매,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
yeye, 14,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
kimjr2020, 98000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
은짱, 고고고 예예님고고,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
방글아줌마, 84500,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
윷요미, 87000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 85000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
위닝여신, 88000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
복댕이서아맘, 구매해놓고 한숨돌리는 중이예요ㅋㅋ,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
김희경, 89000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
허쉬팡, 87000,[미경산한우]_홈_파티에_빠질_수_없는_고기_한우_할인,2021-12-20_093133,"2,928","7,767"
