id,comment,program,time,love,play
하늘블루, 두근두근두근,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
체리베리, 오오 부러워용 ㅠㅠㅠ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
체리베리, 이벤트까지 진심이네요 착한기업 돈줄나라 ㅋㅋ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하늘블루, 부럽부럽ㅠㅠ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
체리베리, 헐 완전 대박이네요 부럽,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하늘블루, 우와ㅏ아아ㅏㅏ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하하호호, 오오오,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하늘블루, 마스크?,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하하호호, 헐 부럽부럽네용 완전유용할듯,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하늘블루, 대박~~~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
띠용쓰, 진짜 이벤트 제품도 빵빵하네요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
띠용쓰, 축하드려요~~~~~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
가나다라마바사, 2021122052551771 주문했어요 이벤트참여해요~~~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
casa, 좋아요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
띠용쓰, 오늘 구성이랑 가격 너무 좋은거같아요~~~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
하하호호, 가격넘 좋네요~산부인과에서도 봤었고~어린이집이랑 산후조리원에서도 이거쓰더라구요~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
아네모네," 산부인과랑 병원에서도 사용하는거같아요~리뷰도 엄청나고, 신뢰도가 팍팍 올라갑니다.",[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
아네모네, 진까 가격 오늘 파격이네요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
아네모네, 진짜 1병도 안되는가격에 이걸다주신다니..헐,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
소리바다, 헐 가격이 대혜자네요 기부방송인가여?ㅎㅎ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
가나다라마바사, 양이많아 팍팍 사용하고있어요~아이들가방 필통 손잡이에 다뿌려주고있어요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
이뻔한세상, 대표님 몰래 하나봄요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
민소희, 구매합니다. 저 뽑아주세요~ 2021122052684691,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
스타카토, 이벤트까지 넘나 풍성하구 좋네용 ㅎㅎ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
도루묵여사, 2021122024674771 저도 꼭 뽑아 주세요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
이뻔한세상, 88올림픽때 나오신 그분?,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
당근케이크, 맞아요 아이들 손이 닿는곳 곳곳에 뿌려주면 좋을거같아용,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
모여봐요, 아이들 장난감 참 세척하기 어려워요ㅠㅠ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
도루묵여사, 기대기대중,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
무민또리, 가격 너무 좋ㅇ느듯,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
당근케이크, 매번 세탁하기 어려운제품들은 요고 사용해주면 딱이네요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074254,"13,003","32,898"
모여봐요, 2021122032471201 꼭 당첨 되고 싶어요~~~,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074321,"13,070","32,907"
kha, 혹시 향이 나나요?,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074321,"13,070","32,907"
하와이, 맞아요 스마트폰에도 사용하면 좋겠어요,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074347,"13,229","32,921"
모여봐요, 그러게요 향은 어떤가용?,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074413,"13,266","32,927"
이뻔한세상, 진짜 자몽종자추출물 향(무향) 나요.,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074439,"13,323","32,937"
하와이, 아이 유모차랑 카시트에도 뿌려주면 좋겠네요 ㅎㅎ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074439,"13,323","32,937"
가나다라마바사, 저도뿌리면서 고민인게 얼만큼 뿌려야 효과적일까요?,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074504,"13,331","32,944"
이뻔한세상, 가짜 자몽종자추출물 쓴거는 오렌지 합성향이 나요.,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074530,"13,331","32,957"
조리뽕짝, 맞아여 진짜 외식한번하구 오면 애들옷에도 음식냄새 나죠 ㅠㅠ 이거 아웃터에 딱이네요 ㅎㅎ,[바이로비트_시그니처]_살균_소독제_어린이_유아_아동용,2021-12-20_074556,"13,331","32,969"
