id,comment,program,time,love,play
오징어게임참가자, 안냥하세용,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080156,172,"3,661"
asds2, 이건 진짜 좋아보인다,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080543,404,"3,770"
asds2, 사는김에 가족꺼 까지!!!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080609,404,"3,783"
축제, 좋아요!!!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080635,404,"3,794"
우진이, ㅋㅋㅋㅋㅋㅋㅋ대박!!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080728,404,"3,827"
좋게해, 좋아요!!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080728,404,"3,827"
뽀록뽀록, 너무 좋은 제품 이다,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080754,404,"3,839"
뽀록뽀록, 대박!!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080820,404,"3,856"
svnsk, 살거 많아도 일단 이거부터...,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080846,410,"3,871"
업로등, 앞으로도 애용할게요!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080912,430,"3,884"
업로등, 대박!!! 짱이다,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080938,430,"3,893"
good12, 우아 ㅋㅋㅋㅋㅋ,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080938,430,"3,893"
good12, 지갑,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_080938,430,"3,893"
good12, 너무 좋네용 ㅎㅎㅎㅎ,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_081004,450,"3,900"
jsdnklbdd, 대박!!,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_081004,450,"3,900"
너와나의연결고리, 좋다 이건 진짜,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_081056,450,"3,918"
마음이 좋아, 이런건 알려야해,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_081122,450,"3,929"
오잉, 참을수 없서..,[연말특집🎄]_유해성분_없는_프리미엄_치약_리치베라,2021-12-20_081148,450,"3,938"
