id,comment,program,time,love,play
유나, 가격 조으네여,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
yoo, 맛있겠당,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
유나, 대박,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
지후니맘, 2021122052697571구매인증합니다~,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
yoo, 사고싶당,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
sun, 짱 맛있어 보임,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
2se, 맥주안주로 딱이겠는데요???,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
yoo, 못참겠다,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
참치비티에스, 쥬쥬님 이쁘세요,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
김토깽이, 💜하인즈👍💜 2021122052054681 💜 주말마다 파스타 해먹는데 당첨기원🙏,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
텅장요정, 와우♡♡♡),[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
2se, 이번에 에프샀는데 신나게 사봅니닷!,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
hmh, 술안주 ^^,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
유나, 맛나보이네요,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
김토깽이, 브로콜리♡,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
둥실이, 브로콜리는 초장이지만 베지바이츠는 하인즈로 ㅋㅋㅋㅋ,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
sun, 진짜루 먹어 보고 싶네용,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
2se, 술땡기네요..ㅠㅠ,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
방탕소녀다, 억수로 맛나겠네요🤗🤗🤗,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
sukiyaki11, 🥦🥦🥦🥦🥦🥦🥦,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
yoo, 보기만해도 침 뚝뚝,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
둥실이, 맥주 땡겨요 ㅠㅠ,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
2se, 마요네즈와도 잘어울릴것같아요,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
yoo, 살께여^^,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
유나, 맛나 겠네 가격도 좋고,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
김토깽이, 아 채소사랑♡♡🥦🥦,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
sun, 바로 구매해야 할 듯. 제품 동나기 전에.,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
텅장요정, 직접키운 톰매이로~,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
sukiyaki11, 🍅🍅🍅🍅🍅🍅🍅🍅🍅,[하인즈]_홈파티_패키지_쇼핑_라이브_파격특가!!,2021-12-20_074252,"9,097","13,927"
