id,comment,program,time,love,play
spiooo, 꽁꽁,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090053,0,"50,301"
인류애, 안녕하세요~~,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090053,0,"50,301"
spiooo, 첫눈!!,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090118,14,"50,315"
햄복하자, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090118,14,"50,315"
인류애, 회사너무 추워서 어그신고 다녀야해요ㅠ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090118,14,"50,315"
츄츄츄, 와,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090145,14,"50,332"
츄츄츄, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090145,14,"50,332"
츄츄츄, 따뜻한 겨울 보낼래요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090145,14,"50,332"
날씨가쌀쌀, 가격 넘 좋아요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090145,14,"50,332"
무민또리, 잘보겠습니다,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090209,19,"50,352"
굿모닝, 오오,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090209,19,"50,352"
낮도깨비, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090209,19,"50,352"
달라진풍, ㅋㅋ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090209,19,"50,352"
her, 가격궁금,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
인류애, 컬러가 빈티지하니 이뿌네요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
뽀르뽀르, 좋아요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
cho, 반가워요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
cho, 기대되요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
도도도레미, 반갑습니다,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090303,19,"50,389"
cho, 대박,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
날씨가쌀쌀, ㅎㅇ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
콜라보, 오오,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
ksk, 좋네요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
까미won, 반갑습니다,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
spiooo, 춥춥~~,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090331,43,"50,410"
꺼비는내친구, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090400,157,"50,426"
꺼비는내친구, 잘볼께요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090400,157,"50,426"
인류애, 발만 따뜻했으면 좋겠는데ㅠ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090400,157,"50,426"
똥글똥글, 오~~!,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090400,157,"50,426"
쿠요빵, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090400,157,"50,426"
으니아니, ㅎㅇ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090428,264,"50,450"
ant, 구매했습니다.,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090456,376,"50,474"
spiooo, 헬멧,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090525,493,"50,489"
핑크쭈, 좋네요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090525,493,"50,489"
수니, 좋아용,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090525,493,"50,489"
햄복하자, 좋아용,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090555,613,"50,504"
spiooo, ㅋㅋㅋㅋㅋㅋ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090555,613,"50,504"
혼런볼, ㅋㅋㅋ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090555,613,"50,504"
쿠라쾅쾅, 오..,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090624,728,"50,510"
마티스, ㅎㅎㅎ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090624,728,"50,510"
으니아니, 주문하고올게요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090653,845,"50,531"
다시찾은행복, 방가워요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090721,960,"50,543"
인류애, 발 290도 들어가나요?,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090721,960,"50,543"
다시찾은행복, 기대기대,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090721,960,"50,543"
수니, 디자인도 괜찮네요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090749,"1,069","50,559"
쿠라쾅쾅, 똘똘한 제품이네요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090817,"1,185","50,572"
88372, ㅎㅎㅎ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090817,"1,185","50,572"
sbioo, 좋군요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090817,"1,185","50,572"
콘치즈맨, 구매했습니다.,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090845,"1,298","50,584"
Bkyung, 디자인 좋아요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090845,"1,298","50,584"
Bkyung, 기대 되요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090913,"1,403","50,595"
달라진풍, ㅎ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090913,"1,403","50,595"
시나, 디자인도 깔끔,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090913,"1,403","50,595"
인류애, ㅜㅜ 약간 코타츠 미니버전인가!?,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090942,"1,522","50,609"
별사랑, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090942,"1,522","50,609"
무민또리, 디자인 너무 예쁜듯,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090942,"1,522","50,609"
쭈구리, 굿,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090942,"1,522","50,609"
her, ㅋㅋㅋㅋ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_090942,"1,522","50,609"
에슥파, 오늘 라이브 할인 혜택 너무 좋네요!!,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091010,"1,633","50,622"
ju, 오,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091010,"1,633","50,622"
천냥, 안녕하세요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091010,"1,633","50,622"
천냥, 발히터 너무 좋아요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091010,"1,633","50,622"
와드, 캬,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091010,"1,633","50,622"
별사랑, 좋아요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091036,"1,733","50,634"
ryuns, 오늘 라이브 할인 혜택 너무 좋네요!!,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091105,"1,843","50,639"
ant, 이제 진짜 겨울,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091105,"1,843","50,639"
웨이브도, 요즘 넘추워요,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091105,"1,843","50,639"
인류애, 쿨링인건가요?,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091133,"1,947","50,651"
날씨가쌀쌀, ㅋㅋㅋㅋ,☃️도매꾹_연말기획전_발히터&온풍기&고급티팟_라이브☃️,2021-12-20_091201,"2,058","50,663"
