id,comment,program,time,love,play
도치네, ㅋㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 이 겨울에 더운 거 느껴보고 싶다..!,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 오늘은 좀 풀렸지만 크리스마스 전후로 또 엄청 추워진대요ㅜㅜ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
곱창구이짱짱, 이야 잘 생겼다,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
샤인머슥해, 허리 몇이세요 남자분?,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 맨투맨에 입으셨는데 슬림하시네요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
도치네, 남자분 평소 몇싸이즈일까요?,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 오 멋있어요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
도치네, 죄송한데xl입어봐주실수 있을까요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 패셔너블~~,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
쭈블리, 오,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
곱창구이짱짱, 피팅모델 같아요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 오 발열조끼가 엄청 센스있는 디쟈인이네요!,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
쭈블리, 오늘 닉네임ㅋㅋㅋㅋ재미지네요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
도치네, 슬림해서 좋네요^^,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지단머리헤드샷, 돼지가 입기엔 너무 슬림한 것 아닌가,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 기믕ㄷ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 기능도 다양하고ㅠㅠ 넘 조아보여요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
도치네, ㅋㅋㅋ슬링한 것처럼ㅋㅋㅋ...,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 레알 날씬해보이는 효과도 있을듯요 ㅋㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 갓성비템,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 보라색 손난로만 나오면 되겠네요ㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
푸루메, 엄마가 꽉찬 66인데 사이즈 뭐로 주문하면 될까요?,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 오호,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 👍👍👍,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
지니지니, 집순이에게는 필수템인 긴 케이블선..ㅋㅋㅋㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 라방볼때 충전은 필수입니다ㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
푸루메, 55저도 살건데 한번만 일어나서 보여주세오,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
푸루메, 넉넉하게 입어야되나 궁금,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
하트, 옷을 박시하게 입으심 크게 아니라면 m사시면 될듯요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082504,"3,819","1,011"
푸루메, 2021122053709261구매 우선제꺼 올려고~~~,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082531,"3,819","1,015"
푸루메, 쿠폰이 하나뿐이네요ㅠ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082557,"3,819","1,019"
지니지니, 오늘도 경쟁률이 세네요..!,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082623,"3,819","1,022"
푸루메, 엄마랑 언니네도 보내주고 싶어요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082623,"3,819","1,022"
푸루메, 주소가 달라서요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082649,"3,819","1,023"
푸루메, 잉~진작알려주셨음ㅠ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082649,"3,819","1,023"
푸루메, 한꺼번에 결재할걸,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082715,"3,819","1,026"
하트, 오늘이 경쟁률이 쎈거에요?,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082715,"3,819","1,026"
하트, 구튀자가 많구나ㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082742,"3,819","1,029"
지니지니, 당첨률 백프로였던 날을 봤어서..ㅋㅋㅋㅋㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082742,"3,819","1,029"
푸루메, 처음 알았음 한꺼번에 결재했을텐데~~~제가 몰랐어요ㅠ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082742,"3,819","1,029"
하트, 아 그런적도 있었구나,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082742,"3,819","1,029"
하트, 감사합니다,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082834,"3,819","1,038"
지니지니, 추카드랴요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082834,"3,819","1,038"
하트, 어머나ㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082834,"3,819","1,038"
하트, 네 감사합니다^,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082901,"3,819","1,041"
도치네, 추카드려요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082901,"3,819","1,041"
하트, 축하드려요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082927,"3,819","1,044"
지니지니, 카운트다운ㅋㅋㅋ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082954,"3,819","1,048"
하트, 나가셨나보다ㅜㅜ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082954,"3,819","1,048"
쭈블리, 축하드립니다🤩,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_082954,"3,819","1,048"
하트, 축하드려요,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083020,"3,819","1,051"
지니지니, 오오,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083020,"3,819","1,051"
하트, 막차타셨으니 계시겠죠?,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083047,"3,819","1,056"
쭈블리, 계셔야쥬,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083047,"3,819","1,056"
지니지니, 옷 더 사러 가셨나ㅠㅠ,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083047,"3,819","1,056"
쭈블리, 어쩜좋아,★발열조끼_초특가_마지막_방송★_추우니까_들어오세요!,2021-12-20_083047,"3,819","1,056"
