id,comment,program,time,love,play
우럭아왜우럭, 쟁여 놓고 싶어서 ㅋㅋㅋㅋㅋ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
마지막춤은 나와 함께, 아 잡내가 나서 매운갈비만 있다는거군요~?,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
레고징, 오 간장베이스가 있으니 간도 걱정 없겠어요!!!!,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
마지막춤은 나와 함께, 흠 그냥 소로 사야겠다~,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, 떡 엄청 야들야들하죠ㅠ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
레고징, 너무날씬 하셔서!!! 와우 .. 늘씬 미녀의 라방 ! 매력 있네요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
레고징, 오호,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, 눈이 슝슝 내려와요~~ㅋㅋㅋ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
레고징, 완전 푸짐!! 아이들 밥 비벼 먹어도 최고 겟어요!,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, 쇼호님 오늘 4인분 다 먹겠어요~~,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, ㅋㅋㅋㅋㅋ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
생각대로티, 안녕하세요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
내사랑룰루, 구매했어요~~^^,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
레고징, 오호 거의 사골 같네요!!! ㅎㅎ 대박,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
ica, 완전 크리스마스 느낌!!!,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
ica, 갈비찜 먹고싶어용,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
강강쮸, 오..,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, 라면사리 무조건 넣어야죠..ㅠㅜ 대박,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
쥬쥬쥬, 무조건 찜해야 하는 맛 ㅎㅎ!!,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
veryme, 3,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
미뇽, 찜찜찜찜찜이야~~,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
검콩, 소 진짜 비싼집 급,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
검콩, 넘 맛있어요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
kan92, 쿡앤찜~~~~~전에 먹어보고 저희 집 전부 반했어요!!ㅋㅋㅋ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
kan92, 돼지도 소도 정말 맛있더라구요!,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
Bellysinger, 보글보글 맛있어보여용,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
이보배, ㅎㅎ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
싸운날비옴, 돼지 많이 매울까요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
천냥, 안녕하세요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
천냥, 갈비찜 맛있겠어요,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091044,592,"4,347"
싸운날비옴, ㅎㅎㅎㅎ맛있게 잘 드시네용,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091112,592,"4,353"
마지막춤은 나와 함께, 신라면 정도의 맵기일까요?,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091140,592,"4,360"
싸운날비옴, 입조심하셔요ㅠ,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091140,592,"4,360"
roha, 한팩이 2인분정도일까요?,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091208,592,"4,360"
마지막춤은 나와 함께, 그럼 애기들은 못먹겠네요~,국내산_1등급_한돈_갈비찜_&_특제_간장_소갈비찜,2021-12-20_091208,592,"4,360"
