id,comment,program,time,love,play
케리스마스, 온 가족이 사용하기 너무좋아요 ❤,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 우왕 궁금,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
피오나, 두피상태가 엄청 좋으신데요~~,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 신기해요!,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
선식우유, 아니 근데 매번 방송때마다 두피상태 좋아지는거 실화냐고ㅋㅋ,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 두피가 깨끗하고 진짜 좋네요 👍,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 쵸크쵸크하다...☆,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
진주또리, 두피가 깨끗해지니깐 좋을듯 합니다.,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
진주또리, 30초~~ 시간도 짧고 너무 좋아요..,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 홈케어하기 너무좋아요 ❤❤,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 저도 정수리 시원하더라고요,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 부모님께 선물해드리면 너무 좋아하시더라구요 🥰,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
juicy, 2021122052373231 아빠랑 같이 보다가 거 하나 사봐라해서 샀어욬ㅋㅋㅋ 마사지도 되는가베 하시네요,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 시원하고 너무좋아요 👍,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 촉촉해졌다!!,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 저렇게 보니까 수분감이 확실히 느껴지는 거 같아요,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
원장, 에브리톡톡 진짜진짜 넘 시원하구 향도좋구 짱입니다,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 바빠서 샴푸 맨날 대충하게 되는데ㅠㅠㅠ 한번 더 샴푸방법 익혀갑니다!!,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
yle, 탈몸,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 연말 선물용으로도 너무좋아요,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 성분도 좋고 꾸준히 써보고 싶어요 😭 자라나라 머리머리,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 소중한 사람들의 두피를 위해 선물해줘야겠어요 💯,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 두분 케미 덕분에 방송도 재밌고 제품도 믿고 쓰기 좋은것같아요 💝😊,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
선식우유, 만병의 근원 스트레스 ㅠㅠ,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
케리스마스, 축하드려요 👍,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 앜ㅋㅋㅋㅋ 두분 덕분에 즐겁게 보고 있는데 소통왕까지ㅠㅠㅠ감사합니다😊!!,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
serendipity, 저도 한달 좀 넘게쓰고 오늘 재구매했어요👋,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
선식우유, 머릿속엔 온통 탕탕탕탕탕,"단30초면_탈모완화,_꿀두피_완성!에브리톡톡_라이브특가",2021-12-20_074304,"6,228","11,905"
