id,comment,program,time,love,play
하랑맘, 안녕하세요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
큐이파파, 아 침고인당...아직 저녁 멀었는데....,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
쇼핑패밀리, 안 냐세요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
한강뷰43층, 로제,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
한강뷰43층, 쪼아!!!,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
서연, 안녕하세요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
버터와플, 배고파요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
서연, 이제 들어왔는데 지금 드시는게 무슨맛인가요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084225,"2,612","2,290"
sun, 배고파여........,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084410,"3,151","2,464"
하랑맘, 너무 배고파여......,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084410,"3,151","2,464"
서연, 우와 넓적당면도 주시는건가요ㅠㅠ,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084410,"3,151","2,464"
파이진 스토어, 안녕하세요~^^,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084436,"3,321","2,507"
버터와플, 4팩 사면 1팩 더 주는건가요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084555,"3,624","2,603"
쇼핑패밀리, 배고파요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084621,"3,707","2,624"
버터와플, 감사합니다^^,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084647,"3,813","2,648"
쿠앙, 윤기가 좔좔,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084859,"3,911","2,736"
쿠앙, 태가난다!,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084859,"3,911","2,736"
한강뷰43층, 너무 맛있어보이네요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084859,"3,911","2,736"
11, 떡볶이ㅜ맛있어요 ㅠ ㅠ,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084925,"3,911","2,747"
11, 앙 기모띠!,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084925,"3,911","2,747"
한강뷰43층, 금액초특가네요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_084951,"3,911","2,761"
jyo, 냉장고에아직조 5개 남았는데 또뵙네요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085044,"4,025","2,801"
한강뷰43층, 우~~~~와,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085111,"4,134","2,814"
박내천, 아 너무 맛있어 보여요 ㅠ,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085111,"4,134","2,814"
서연, 아이스팩 대신 생수 너무 조아요👍👍,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085137,"4,196","2,828"
ofr, 대박,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085137,"4,196","2,828"
서연, 비주얼 ㅠㅠ 미텨다,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085137,"4,196","2,828"
버터와플, 색감 미쳤당...,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085137,"4,196","2,828"
쿠앙, 박내천님,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
서연, 완전 파는 비주얼인데여,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
쿠앙, 제 친구랑 이름 똑같네요^^,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
한강뷰43층, 워메,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
한강뷰43층, 힘들어요,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
버터와플, 국물떡벆이?!,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085230,"4,349","2,854"
박내천, 아 밀떡이 진짜 맛있는데 ㅠㅠ,떡볶이_2인분_❤4900원❤_크리스마스_앵콜방송🎅,2021-12-20_085322,"4,991","2,884"
