id,comment,program,time,love,play
새달93, 가볍겠어요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
sy026742, 완전 스포티하지 않고 중후한 느낌이예요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
라라라, 깔끔하네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
안찌미, 사이즈몇까지잇나요~,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
잔망루피, 라인좋아요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
토토루네, 오,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
봄잉여르밍, 다자인깔쌈하네여,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
새달93, 둔해보이지두않구,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
쑨쑨, 잘어울리세여 ㅎㅎㅎㅎ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
토토루네, 깔끔스,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
라라라, 오리털이구니,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
은쟈, 깔끔하고 좋다,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
이쁜민채, 점퍼 두께가 적당해서 입기 편하겠네여,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
백조, 예뻐요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
잔망루피, 깔끔,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
j87, 크리스마스에 진짜 춥다는데,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
혜아, ㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
쨔, 오,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
꾸잉, 유행타지 않을거같아요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
피파고수, 따뜻하겠다,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
양빵, 오리털이구나,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
몽, 너무 얇지도 두껍지도 않은거 같네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
쨔, 가볍나용?,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
백조, ㅋㅋㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
마동이, 따뜻해보여용,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
쑨쑨, 172 69 ㅋㅋ 공개,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
별바람햇살, 사이즈 뭐 입으신건가요?,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
펭펭, 퀼팅 진짜 깔끔하네여!,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
뭉실이, 가벼워 보여요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
Elin, 오 깔끔해보이네영,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
나디아, 디자인 깔끔하네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
백조, ㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
펭펭, 가벼워보여요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
이브닝브리즈, 두께는 어떤가요~~~~,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
예민하윤맘, 와 진짜 따뜻해보인다,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
토토루네, 바둑이라니 ㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
은쟈, ㅌㅋㅋㅋㅋㅋㅋㅋㅋ바둑,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
뉴링, 바둑이라뇨 ㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
안찌미, 알까기 ㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
혁이맘v, 저도 첨바ㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
혜아, 오홍....,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
몽, 가볍에 입기 좋을듯요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
sy026742, 바둑이래,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
Elin, 따뜻할거같앙,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
챠밍, 직관적 퀼팅ㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
뚠뚜루뚜뚜, 바둑ㅋㅋㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
펭펭, 장깈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
양양, ㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
피파고수, 두께가 있네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
나디아, 아니 바둑을ㅋㄲㅋㄱㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
이화, ㅋㅋㅋㅋ바둑ㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
구름, ㄴ되게 가벼워보여요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080320,660,908
마동이, ㅋㅋㅋㅋㅋ바둑,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
백조, 좋네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
혁이맘v, 가슴팍에 저정도는ㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
몽, ㅋㅋㅋㅋㅋ 알까기,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
나디아, ㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
봄잉여르밍, 바둑 ㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
웨이시아오, 오리털이구나,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
dhrosa, 무슨 털 인가요!!,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
깅깅, 오~,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
펭펭, 용도가다양하네욬ㅋㅋㅋㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
쿠니류, 실용적인 점퍼네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
김쌈순, ㅋㅋㅋ 바둑ㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
예민하윤맘, ㅋㅋㅋ첨보네여,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
쨔, 생활방수가 되나요?,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
yeo, ㅌㅋㅋㅋㅋ 바둑이요? ㅋㅋㅌㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
펭펭, 오 따뜻하구나,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
j87, 톡톡하니 어디에든 어울리고 깔끔한 스탈이네요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
예민하윤맘, 마니 안두꺼울듯,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
깅깅, ㅋㅋㅋ,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
별바람햇살, 거위인가요?,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
쑨쑨, 오리털 잘못사묜 무겁던데,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
양빵, 오리털이래요,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
꾸잉, 오 오리털!!,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
혜아, 와..,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
Elin, 오오 이쁘네욤,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
혜아, 넘 좋다,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
나디아, 오리털 겨울에는 최고의 제품이죠,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
Elin, 오리털!,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
깅깅, 오~~,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
은쟈, 오호,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
꾸잉, 오린데 10만원이면 진짜 대박인듯...,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
양양, 오오 좋다,마음까지_따뜻해지는_세정_인디안의_크리스마스_선물전,2021-12-20_080346,681,945
