id,comment,program,time,love,play
룰루랄라, 된장만 있으면 나도 쉐프,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
발가락양말, 너무 땡긴다,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
굴렁쇠, 알림꾸욱,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, 깨소금,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 대표님~~~🧡🧡🧡🧡🧡🧡❤❤❤❤,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, 짜잔~~~~~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 다 해결되아부러,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, 👏 👏 👏 👏 👏 👏,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
노끈, 너무 좋네요!!,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
웨딩마차, ㅋㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 헉,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 주임님,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
현이, 이걸로 오늘 저녁을... ㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
오른팔 왼팔, 고민됩니다 ㅠ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, 자빠져뷰러,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 도망쳐,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
뒷마당암닭, 가격이 너무 좋네요 ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
오아시스, 가성비 상당해용,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 주임님 손톱도 시금치네일,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, ㅋㅋㅋㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
진토닉, 참맛있는 된장 정말 삼삼하니 맛나요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
또비, 이여,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, 대표님의 자부심~~ 👍,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
둥이순이, 구매했습니다~~~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 시금치네일엄지,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
도톨, 아니 대표님이 왜 세일링을 잘하시는건데 ㅋㅋㅋㅋㅋㅋㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
스폰지밥, ㅎㅎ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
수박쥬스, 올,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 👌👌👌👌👌👌👌👌👌,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
밑반찬, 너무 맘에 드네요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
룰루랄라, ㅋㅋㅋㅋㅋㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 그러지마쇼잉,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
유니, 자신감,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
옥수수강냉이, 가격이 정말 착하네요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 대표님 그라지마쇼잉~~~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, ㅋㅋㅋㅋ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
아기물티슈, 오늘은 여기다,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 다같이 자빠져부러,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
등신대, 무조건 사야함 이건,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
돌맹이, 텐션 대단해요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 점점 빠져드는 대표님,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
악바리, 라이브방송보고 구매했어요 ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
가나다라마바사, 제발 사서맛있게 먹으라고 하세용~~~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
구헴, 진행 깔끔하네요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
체시리아, 할인 ㅎㄷㄷ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
밤안개, 멘트 너무 찰져요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
크롱, 그라지마쇼잉~~~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
포오, 너무 좋다~,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
키스미달링, 안 살수가 없어요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
홍금보, 방송 매일 해주세요,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
kon, 현기증 나요 ㅠㅠ,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
도톨, 남도장터라 가능한 가격!!!,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
비가오는날엔, ><,맛과_건강을_모~두_담은_강진_참_맛있는_된장,2021-12-20_090042,"34,746","18,666"
