id,comment,program,time,love,play
츄츄츄, 와,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090116,0,"11,006"
햄복하자, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090143,13,"11,023"
닉시아, 안녕하세여,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090143,13,"11,023"
츄츄츄, 우와,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090143,13,"11,023"
츄츄츄, 방가워용,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090143,13,"11,023"
buhcool, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090207,16,"11,034"
buhcool, 와 핑크 핑크 하네요.. ㅎㅎ,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090234,21,"11,047"
무민또리, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090234,21,"11,047"
낮도깨비, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090300,21,"11,055"
삼겹살, 안녕하세요 산타와 루돌프 조합이네요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090329,123,"11,064"
콜라보, 오오,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090358,238,"11,079"
삼겹살, 멘트 살살 녹네요~,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090358,238,"11,079"
뽀르뽀르, 좋아요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090358,238,"11,079"
햄복하자, 굿굿굿,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090552,679,"11,121"
소풍, 좋아요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090814,855,"11,174"
에슥파, 오늘 라이브 할인 혜택 너무 좋네요!!,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_090939,981,"11,207"
쭈구리, 굿,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091008,983,"11,216"
무민또리, 할인혜택 굿,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091008,983,"11,216"
시나, 디자인 좋다,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091034,983,"11,222"
천냥, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091102,983,"11,231"
천냥, 젠하이저 좋네요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091102,983,"11,231"
ryuns, 오늘 라이브 할인 혜택 너무 좋네요!!,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091130,983,"11,236"
sys, 기프트,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091158,983,"11,243"
sys, 패키지,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091227,983,"11,255"
sys, 기대됩니다,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091227,983,"11,255"
toyuheeyeol, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091326,983,"11,270"
우현하빈, 혜택좋아요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091326,983,"11,270"
toyuheeyeol, 젠하이저 제품 좋던데 기대할게요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091326,983,"11,270"
우현하빈, 좋은제품이네요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091354,983,"11,283"
oop, 제품이 좋군요.,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091449,983,"11,294"
유유, 좋네요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091449,983,"11,294"
bhg00, 안녕하세요^^,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091640,983,"11,319"
bhg00, 기대되네요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091640,983,"11,319"
aha, 방가워여~,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_091804,"1,034","11,339"
mc9453800, 품질이 정말 좋습니다,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_092023,"1,119","11,369"
카페라떼, 안녕하세요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_092051,"1,119","11,369"
mc9453800, 사용 중입니다,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_092119,"1,119","11,374"
카페라떼, 방송 혜택 좋아요,젠하이저_기프트_패키지_출시⚡_크리스마스_에디션🎄,2021-12-20_092119,"1,119","11,374"
