id,comment,program,time,love,play
람가, 사르락토 우리 친정아부지 시어머니 최애템이에요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
김학순, 10만원 이상 고매했습니다,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
김학순, 개이득이네요!!!!,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
dbw, 와~~,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
김학순, 엠시두분 메리크리스마스요!,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
민트봉봉, 연말 선물 너무 좋아요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
앨리체, 2021122054600561 구매했어요 ❤,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
2에이승 이에 2승, 오호,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
2에이승 이에 2승, 너무 좋네요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
딸기마녀, 좋네요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
금손인가봄, 와우~면역밸런스 사러왔어요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
2에이승 이에 2승, 나빳네`~,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
2에이승 이에 2승, 선물 보내 줬어야죠`~~ㅋㅋ,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
2에이승 이에 2승, 유산균~~,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
민트봉봉, 분말 형태의 유산균 인가요?,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
jykh23, 몇살부터먹는지궁금해요ㅠㅠ,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
아름클럽임회장, 유산균 유목민인데 사르락토 먹어보고 유목생활 마무리 했습니다,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
jykh23, 감사해요~~^^,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
딸기마녀, 하루에한포먹는건가요?,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
아름클럽임회장, 첨에 양이 적어서 덜 넣어었나 했는데 양은 적어도 효과는 너무 만족합니다,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
금손인가봄, 다래추출물 키즈랑 그냥 다래추출물이랑 맛이 다른가요?,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
별사랑, 좋아요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
유쾌비빔밥, 믿고 먹을 수 있겠어요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
민트봉봉, 유산균은 공복에 먹으라고하던데 언제 먹어야 하나요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
노란앵두, 믿음이 가요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
소금카라멜, 최종헤택가 좋네요 : ),큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
별사랑, 좋아요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
금손인가봄, 아 네 감사해요 :) 이번엔 이거 사고 담엔 키즈도 라이브 해주셨음 좋겠어요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
노란앵두, 아무때나 섭취해도 괜찮은가보넹ᆢ,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
딸기마녀, 목넘김이좋겠어요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091238,"3,136","4,995"
마쉬멜로우, 보장균수가 정말 많네요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091336,"3,593","5,564"
dbw, 실온보관 괜찮을까요?,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091336,"3,593","5,564"
아희, 맛있겠어요♡,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091336,"3,593","5,564"
김학순, 으악 주시는 치킨 먹고 유산균 먹어야겟네요 ㅎㅎㅎ,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091458,"3,827","6,172"
cou, 한번 맛보면 돌아갈 수 없는 유산균!,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091526,"4,160","6,238"
cou, 주변 지인들 다 추천해서 바꿧어요!,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091553,"4,446","6,484"
루이16세, 머든 꾸준히가 중요하니까~다다익선~,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091621,"4,792","6,630"
김학순, 방송 및 할인 제발 한 분기에 한번은 해주세요!!!,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091718,"5,213","6,722"
dbw, 이거 맛있어요ㅎㅎ,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091718,"5,213","6,722"
넌나의태양, 산타 자가격리라 못오신다더니 큐비앤이 산타 🎅 🎅,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091718,"5,213","6,722"
klc, ?..,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091745,"5,498","6,928"
딸기마녀, 가족끼리먹어도 좋겠네요,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091745,"5,498","6,928"
과천꿀수박, 물없이도 쉽게 섭취가능해서 좋네요~~~,큐비앤_입에서_사르르_녹는_덴마크100억유산균,2021-12-20_091745,"5,498","6,928"
