id,comment,program,time,love,play
예림이, 안녕하세요!,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
아갱, 안녕하세요 ㅎㅎㅎㅎ,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
hkmlove2155, 안녕하세요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
아갱, 부끄부끄 ㅎㅎ,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
율이다솜, 안녕하세요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
쿤맘, 안녕하세요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
구름이12, 안녕하세요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
hkmlove2155, 태블릿은 화면이없는건가요?,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
오늘나는내일너는, 안녕하세요!,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
아갱, 알림떠서 바로왓어요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
노란튤립, 안녕하세요,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
hkmlove2155, 태블릿은 화면이없는건가요?,크리스마스_준비는_영실업에서,2021-12-20_080134,398,"1,363"
기쁨두배, 알림보고 찾아 왔어요,크리스마스_준비는_영실업에서,2021-12-20_080228,"1,254","1,426"
hkmlove2155, 네,크리스마스_준비는_영실업에서,2021-12-20_080228,"1,254","1,426"
hkmlove2155, 후아이요,크리스마스_준비는_영실업에서,2021-12-20_080253,"1,420","1,452"
헬렌켈렉켈렉, 지한아 안녕~~해주세요,크리스마스_준비는_영실업에서,2021-12-20_080253,"1,420","1,452"
세공주마미, 안녕하세요~ 아직 선물 준비못한 엄마입니다ㅎㅎ,크리스마스_준비는_영실업에서,2021-12-20_080253,"1,420","1,452"
아갱, 배송이 어떻게되나요???,크리스마스_준비는_영실업에서,2021-12-20_080342,"1,424","1,509"
구름이12, 오늘 주문하면 크리스마스전에 오나요?,크리스마스_준비는_영실업에서,2021-12-20_080342,"1,424","1,509"
아갱, 오앗 사여겟네요 ㅎㅎㅎ,크리스마스_준비는_영실업에서,2021-12-20_080408,"1,433","1,534"
헬렌켈렉켈렉," 감사합니다 지하니가넘좋아해용 아이랑같이방송볼께요 ,,ㅋㅋ",크리스마스_준비는_영실업에서,2021-12-20_080408,"1,433","1,534"
눈꽃마녀, 😍,크리스마스_준비는_영실업에서,2021-12-20_080434,"1,435","1,568"
tnfgs, 좀 비싼듯요,크리스마스_준비는_영실업에서,2021-12-20_080434,"1,435","1,568"
삐리삐리, 구매했습니다^^,크리스마스_준비는_영실업에서,2021-12-20_080500,"1,435","1,591"
성게군, LOL이다,크리스마스_준비는_영실업에서,2021-12-20_080526,"1,440","1,621"
tnfgs, 마트랑 다른곳봐 비싼데요..,크리스마스_준비는_영실업에서,2021-12-20_080526,"1,440","1,621"
아갱, 라이브에 소개된 제품만 할인되나용,크리스마스_준비는_영실업에서,2021-12-20_080526,"1,440","1,621"
눈꽃마녀, 콩순이 ai 9만원인건가요?,크리스마스_준비는_영실업에서,2021-12-20_080551,"1,453","1,641"
베스트라이프, 내린가격이 얼만가요?주방놀이요,크리스마스_준비는_영실업에서,2021-12-20_080618,"1,453","1,671"
tnfgs, 콩순이 ㅇai 다른곳에서 더쌌어요,크리스마스_준비는_영실업에서,2021-12-20_080644,"1,469","1,693"
로하마미, 셀카폰 얼마에요?,크리스마스_준비는_영실업에서,2021-12-20_080710,"1,471","1,736"
killer501, tnfgs님 전문가 필 나네요,크리스마스_준비는_영실업에서,2021-12-20_080710,"1,471","1,736"
killer501, ㅎ,크리스마스_준비는_영실업에서,2021-12-20_080710,"1,471","1,736"
구름이12, 너무귀여워요,크리스마스_준비는_영실업에서,2021-12-20_080736,"1,471","1,762"
노란튤립, 어머 태블릿 귀엽네요ㅋ 우리 막둥이 어렸을 때 있었으면 바로 샀을 텐데요,크리스마스_준비는_영실업에서,2021-12-20_080802,"1,471","1,798"
세공주마미, 말하는 공주거울 보여주세요~~~~~~~~,크리스마스_준비는_영실업에서,2021-12-20_080802,"1,471","1,798"
Hello, 말하는공주거울궁금해용,크리스마스_준비는_영실업에서,2021-12-20_080802,"1,471","1,798"
눈꽃마녀, 코딩병원놀이도 보여주세요~,크리스마스_준비는_영실업에서,2021-12-20_080829,"1,703","1,826"
수리수리순, 공주거울 보고파요,크리스마스_준비는_영실업에서,2021-12-20_080829,"1,703","1,826"
hkmlove2155, 최소연령 어떻게되요?,크리스마스_준비는_영실업에서,2021-12-20_080855,"1,953","1,852"
로하마미, 셀카폰 가격,크리스마스_준비는_영실업에서,2021-12-20_080921,"2,345","1,868"
tnfgs, 셀카폰도 안싸요,크리스마스_준비는_영실업에서,2021-12-20_080921,"2,345","1,868"
세공주마미, 공주거울 준비안되나요????ㅜㅜ,크리스마스_준비는_영실업에서,2021-12-20_080921,"2,345","1,868"
세공주마미, 궁금한데ㅜㅜ,크리스마스_준비는_영실업에서,2021-12-20_080947,"2,345","1,892"
hkmlove2155, 7살되나요?,크리스마스_준비는_영실업에서,2021-12-20_080947,"2,345","1,892"
홍콩맘, 셀카폰 얼마에요?,크리스마스_준비는_영실업에서,2021-12-20_081039,"2,345","1,929"
tnfgs, 인터넷 나와있는 가격이랑 똑같던데 혜택이 뭔가요?,크리스마스_준비는_영실업에서,2021-12-20_081105,"2,345","1,957"
귀욤뿜뿜, 네이버페이는어떻게받는고에용??,크리스마스_준비는_영실업에서,2021-12-20_081157,"2,345","1,995"
홍콩맘, 저 혹시 크리스마스까지 받을수있을까요?,크리스마스_준비는_영실업에서,2021-12-20_081157,"2,345","1,995"
tnfgs, 가격조정도 안됐는데 구매를 하나요?,크리스마스_준비는_영실업에서,2021-12-20_081249,"2,347","2,033"
로하마미, 가격 그대로인데요?,크리스마스_준비는_영실업에서,2021-12-20_081406,"2,368","2,086"
tnfgs, 맞아요 가격 그대로네요.안싸요.,크리스마스_준비는_영실업에서,2021-12-20_081524,"2,371","2,137"
와와와, 병원놀이 어제 삿어요...ㅠㅠ,크리스마스_준비는_영실업에서,2021-12-20_081550,"2,373","2,167"
tnfgs, 쿠폰 받아도 안싼데요,크리스마스_준비는_영실업에서,2021-12-20_081550,"2,373","2,167"
예림이, 오 최저가 감사합니다!!,크리스마스_준비는_영실업에서,2021-12-20_081616,"2,373","2,181"
로하마미, 그럼 최종 결제가가 얼마인가요?,크리스마스_준비는_영실업에서,2021-12-20_081642,"2,412","2,208"
예림이, 오프에서 안사길 잘했네요,크리스마스_준비는_영실업에서,2021-12-20_081642,"2,412","2,208"
노란튤립, 병원놀이 쿠폰받았더니 32.920원!!! 와,크리스마스_준비는_영실업에서,2021-12-20_081642,"2,412","2,208"
killer501, 시작때 가격 이야기 하시며 사지말라고 바람몰이 하는~~아알바 ㅋ,크리스마스_준비는_영실업에서,2021-12-20_081708,"2,451","2,219"
유르, 2021122053334551 구매했어요~~,크리스마스_준비는_영실업에서,2021-12-20_081708,"2,451","2,219"
killer501, 티난다 ㅋ,크리스마스_준비는_영실업에서,2021-12-20_081708,"2,451","2,219"
dir, 쿠폰 금액 ㅎㄷㄷㄷ,크리스마스_준비는_영실업에서,2021-12-20_081708,"2,451","2,219"
와와와, ㄷㄷㄷ,크리스마스_준비는_영실업에서,2021-12-20_081734,"2,484","2,236"
dir, 8000원 쿠폰 대박 ㅋㅋㅋ 지금 사야겠어요,크리스마스_준비는_영실업에서,2021-12-20_081801,"2,730","2,253"
꿈쟁이," 32,920이네요",크리스마스_준비는_영실업에서,2021-12-20_081801,"2,730","2,253"
와와와, 으앙ㅠ,크리스마스_준비는_영실업에서,2021-12-20_081801,"2,730","2,253"
구름이12, 저렇게보면 할인이 엄청나네요,크리스마스_준비는_영실업에서,2021-12-20_081801,"2,730","2,253"
예림이, 싸다 비싸다 휘둘리지 않고 찾아보고 옴 ㅋ,크리스마스_준비는_영실업에서,2021-12-20_081801,"2,730","2,253"
tnfgs, 라이브에서 준비가 부족하네요,크리스마스_준비는_영실업에서,2021-12-20_081827,"3,156","2,271"
예림이, 쿠폰받으니 대박,크리스마스_준비는_영실업에서,2021-12-20_081827,"3,156","2,271"
마재 치리, 미소가 참 고우십니다,크리스마스_준비는_영실업에서,2021-12-20_081853,"3,385","2,285"
ys-, 에쁘세요,크리스마스_준비는_영실업에서,2021-12-20_081919,"3,749","2,310"
까꿍썬, 급하게 더사요 라이브선물 몰까요~^^,크리스마스_준비는_영실업에서,2021-12-20_081919,"3,749","2,310"
눈꽃마녀, 아직 아이가 막 누르는데 순서대로 안눌러도 코딩병원놀이 가능할까요?,크리스마스_준비는_영실업에서,2021-12-20_081919,"3,749","2,310"
꿈쟁이, 쿠폰받아서 싼게 있고 안싼게 있네요 ㅠ,크리스마스_준비는_영실업에서,2021-12-20_081945,"3,844","2,330"
