id,comment,program,time,love,play
차차, 써브웨이 말씀하셔서 급 먹고싶어졋어용ㅋㅋㅋㅋ,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
라니, 돼지같으면 안되는데,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
heeee, 오늘 떡볶이와 서브웨이 다 드셨나보다~텐션이 최고네요😆👍👍💗💗,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
차차, 에이랑님 사이버인간설ㅋㅋㅋㅋ,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
라니, 패쓰,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
라니, ㅋㅋㅋ,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
라니, 다른거 열심히 찾는중이요ㅋ,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
꼬꼬야, 차차님 그러니까요...,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
구마구마라워라워, 차차님 계셨군요~,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
차차, 구마님 안녕하세용!!!,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
구마구마라워라워, 많이 드시고 힘내세요,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
차차, 오늘 지각해쏘요ㅠㅠ일 많아서 일 하느라ㅠㅠ힝,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
라라, 크크크,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
구마구마라워라워, 토끼티 에이랑님은 언제나 에너지가 넘쳐납니다,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
차차, 월루하는거쥬^^*ㅋ,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
구마구마라워라워, 2부 좋아요,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
차차, 2부 저두 조아요!!!,특가신상파티❤️❤️,2021-12-20_080225,"1,132","1,044"
