id,comment,program,time,love,play
짱가, 옷이라도 영하게 입자요^^~,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
KEL, 전 단색이 예뻐요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
뉴데이, 진중하새,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
뉴데이, 감사햐요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
랑이, 희은님은 둘다 어울리는듯요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
lenapark, 저도 단색이 이뻐요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
has, 소밍인가여?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
2394, 일반밍크요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
아기엔젤, 친칠라?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
aio, 전상품 77사이즈가 최대인가요?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
강냉이, 친칠라 예뻐요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 냉이님.. 친칠라 예뻐요..제가 보기에도..,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
아기엔젤, 저두 친칠라ㅠㅠ,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 특가.. ㅋㅋ 점,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 어깨??,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
랑이, 티도 거의 안나는데요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
써니, 사이즈?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 대표님만 보이심,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
권세 세리꺼, 머리길믄안보이긋네요ㅋ,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
아기엔젤, 잘 티낭나네요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
2394, ㅋㅋ,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
luc, 5분 ㅠㅠ,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 목이랑 다르네요..,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 이쁘네요..,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
우아한, 사이즈가 없어 아쉬움 색상 예뻐요 고급짐,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
진실, 네이비 얼마라구요?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
바닐라민트, 90이요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
짱가, 진실님 90이래요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
진실, 감사합니다,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
lov, 사이즈요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075832,221,"1,488"
랑이, 저녁에 뵈요~~♡♡,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075858,221,"1,511"
리치마마, 워셔블 블랙 좀 입어봐주세요.,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075858,221,"1,511"
써니, 소프트밍크 100마넌짜리,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075858,221,"1,511"
짱가, 우와.. 2분 남았어요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
짱가, 1분..,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
프연, 요거 이쁘당,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
지농짱짱, 희은님 뭣좀 드세요^^,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
써니, 네이비 실버 사장님핏 볼수있을까요?,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
짱가, 귀요미,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075924,221,"1,531"
랑이, 안녕~^^♡♡♡,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_075950,221,"1,551"
짱가, 애쓰셨어요,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_080015,221,"1,568"
dhrosa, 안녕하세요!!!!,희은언니의_모피백화점__마리노블___초특가전_-1부-,2021-12-20_080015,221,"1,568"
