id,comment,program,time
쭈우, 으아니 우리 사장님 살 더 빠지신거 같네요,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
유파이브, 점심 드셨나요??,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 부츠를 사려니 스키니진도 같이 사야 할거 같은데… 따땃한 바지로다가 추천 가능하실까유^^,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 점심안 드시고 일하시것쥬…라고 쓰고 있는데,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 못드셨다니,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 아이구 밥 못드셨구나,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 어제 부츠 안사고 리봉 가디건 먼저 사버림요 ㅎㅎㅎ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 살 점점 빠지시겠다ㅠ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 살이 빠질 수 밖에 ㅜㅜ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 앗 ㅋㅋ 더럽다니욧,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 일에 열중하다보니,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 못드시나보당 ㅜㅜ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 꺼쿠리,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
유파이브, 예민하셔서,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
woo 씨삽은사랑, 사장님 목소리가 안좋아요..힘드시것 같아요,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 글죠 먹으면 기부니가 좋아서,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 위를 줄이는 방법… 제 의지대로 안되요 ㅋㅎㅎ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 위가 위대함,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 지금은?!,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 사장님?!,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 아공 사장님 따닷한 물 많이 잡솨용,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 체질인듯요,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
패션테러, 토할꺼야 아마,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 마른 사람중에 먹어도 안찌는 그런 태생이 있더라구요 ㅠㅡ,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
쭈우, 부럽부럽,10%_할인_쿠폰_발행_신상_할인_라이브,2021-12-09_080059
