id,comment,program,time
nannahey, 헐 이거 짱맛있아요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
궁이, 오좋아보여용ㅎ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
딸기우유, 고메 제품 너무 좋아하는데 구성 잘 봐야겠어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
태양사랑, 구매했어요~~~~~,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
chj1543, 오오,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
태양사랑, 크로와상 스콘 콘치즈요~~~~,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
psj, 2021120999135601 구매완료 했어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
별사랑, 좋아요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
난나야, 먹고 싶어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
이혜진, 오좋아보여용ㅎ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
nannahey, 빵순이시라면 그럼또 프믿고 살게여!!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
박박디라라, 우왕,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
박박디라라, 좋네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
비아, 2021120999132441 구매완료했어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
psj, 2021120999135601 구매완료~~^^ 빨리 받아서 먹고 싶어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
nannahey, 선생님 소리 들려주세여.. 파사삭소리…,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
김명애, 우와~맛나겠어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
exp, 2021120999163831구매완료요~,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
클레오파트라, 너무 맛있다는걸 티내면서 드신다,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
클레오파트라, ㅋㅋㅋ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
oop, 2021120999170131 구매완료요!!! 출출한시간이라 배고파요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
nannahey, 엌ㅋㅋㅋㅋㅋㅋㅋㅋ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
반반무마니, ㅎㅎ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
써니, 구입했어요~~~!!!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
전설이되다, 와,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
아름다운변화n79, 구매완료했어요^^고메 제품 다 맛있어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
전설이되다, 좋네여,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
lkh, 배고프다.....,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
Yeon, 너무 맛있어보이네요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
고롱고롱, 2021120999150271 구매인증! 빵냄새나는 것 같아요...,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
굴은위험해, 계속드시네요 넘 맛있는듯...,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
ABC, 감사합니다!,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
프라하의 아침, 침나와요ㅜㅜ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
하트뿅뿅, 2021120999178171,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
프라하의 아침, 먹고싶어요,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
부리부리이션, 남자 쇼호스트분은 항상 맛있게 드셔ㅋㅋㅋㅋㅋ,CJ고메_베이커리(생지)_출시_특가_LIVE,2021-12-09_065746
