id,comment,program,time
ksllove777, 착용하신 진주목걸이는 판매하시는거아니죠??,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
희망, 입어봐주셔서 감사해요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 네네 감사합니당,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 혹시 아까블라우스에입은건,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 그것도 그바지인가요?,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 둘다이쁘던데..,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
ksllove777, 반짝이는게넘이뻐서용~^^판매했음좋겠네용,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
han, 전신 느낌보도싶은데 기장감은 어떤가요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
yjs, 배송 언제되나요?원피스요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
라라 J, 예뻐요 화사해요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 입는거 마다 다 내스타일♡,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 다 사고싶어요^^,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
yjs, 크리스마스엔 입을수 있을까요?,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
yjs, 배송이 그때까진 올까요?,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
노랑이, 우아해보여요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 160 52 ㅡ3 스몰될까요?,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 스몰 미듐 그때그때,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
스마일79, 달라서요ㅜ,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
하얀여우, 원피스구입했어용ㅋㅋㅋ,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
달빛Jeenee, 안녕하세요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
soft83c, 벨벳원피스지나갔나요,[모노타임]_12_9_신상_입어보기_2부,2021-12-09_063114
