id,comment,program,time
홍게먹자, 우리나라가 입맛이 장난아니죠,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 수준높은 한국분들,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 와~~~~~~~~~ 설명잘해주시네요 그러네요 정말,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 우리나라 분들 입맛이 세계에서 인정맏네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 태국 놀러가고싶어요 ㅠ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 이놈의 코로나때문에..,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 치앙라이 도이~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 콜드브루 원래 비싼데,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 할인많이해서 저렴하네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 카페가면 아메리카노보다 일이천원 비싸게받죠 콜드브루는 ㅎㅎ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 마시면서 눈 감으면 태국 치앙~ 도이 가 보일것 같아요 ㅎㅎㅎ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
하트, 향이 어때요?,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 너무 맛있어서 사레걸리심 ㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, ㅋㅋㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 사람의 언어로 표현 불가능 크~~~~~~~~~~~~~~~~~♥️♥️♥️♥️,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 와우!!!,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 와 설명 대박이심 느낌이 옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 아 마늘빵이 소품이아니라 제품이었군욬ㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 전 그 일급수 청정수라는 말씀듣고 사러가용 ~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
하트, 와 엄청 크네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
하트, 맛있겠다,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
하트, 츄릅~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 얼마나 깔끔하면 청정일급수 .... 맛이 너므 궁금해요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 빵에 커피에 지금 딱 먹고싶은것들만 방송을하네요.. ㅠ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 그러네요 아 배고픈데 간식으로 딱,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 마늘빵 파파뭐시기 유명하던데,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 와 대박...,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 마늘버터크림이 가득이네요 구우면 빵에 스며들면서 캬~~~~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
눈누난나, 오호 빵집투어 다니셨구나 ㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
골드바, 커피에 빵.. 조합 기가막히네요 ㅠ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075832
홍게먹자, 혼자하시면서 오디오 안비고 저렇게 술술 하시다니 ㅋㅋㅋㅋ 저도 꿈이 쇼호스트인데 존경스럼,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075853
눈누난나, ㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075853
눈누난나, 아 파파쉐프 군요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075853
눈누난나, 맛있다고 많이들 드시던데 와,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075914
눈누난나, 와 바삭바삭 소리,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075914
홍게먹자, 와~~~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075935
눈누난나, 중독성있다고 하더라고요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075935
눈누난나, 커피에 마늘빵 캬!!!,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_075956
홍게먹자, 아흐~~~~ 미티겠어용,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080015
홍게먹자, sns 난리났어요? 오,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080036
배려, 반가워요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080055
홍게먹자, 이거 오늘저녁에몇시까지 살수있나요? 냉동실 자리보고 사야해서 집에가서 살수 있는데,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080115
하트, 아 저 조합은 말모말모,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080115
눈누난나, ㅋㅋㅋㅋ 행복해보이심,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080134
하트, 맛있겠당,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080134
퐁퐁, 와~ 커피땡기는시간인데><,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080155
눈누난나, ㅋㅋ 냉동실 자리보고 구입하셔야겠네요 빵이 많아서 근데 금방 드실듯,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080155
홍게먹자, 그러게말이예요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080216
첫눈이 펄펄, 안녕하세요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080216
퐁퐁, 너무해~~ 커피땡기는시간에~ 디져트랑~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080216
whatwhat, 마늘빵 드시는거 보다가 나도 모르게 구매 눌렀어요 ㅜㅜ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080257
퐁퐁, 고급지게 턱시도까지 입구 방송해주시니 더 고급진방송~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080257
홍게먹자, ㅎㅎㅎㅎㅎ완전 고급지네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080318
whatwhat, 아 진짜 ㅋㅋㅋㅋㅋ 당했어요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080318
퐁퐁, 콜드브루~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080359
요알못, 와 안녕하세요 저는 작은 카페를 하는데 궁금해서 들어왓어용,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080420
낮도깨비, 싸와디캅~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080420
퐁퐁, 시원하게~ 딱!,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080420
홍게먹자, ♥️싸왓디캅~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080420
whatwhat, 진짜 배고픈 시간에 땡기네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080420
홍게먹자, 여자는 싸왓디카 남자는 싸왓디캅~~~ 이래요 ㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080441
퐁퐁, 콜드브루 라떼해먹어두 맛있구~><,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080503
눈누난나, 와 ㅋㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080503
눈누난나, 코쿤캅~~~~~~ ㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080503
퐁퐁, 코쿤캅👏🏻,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080503
홍게먹자, 컵쿤캅~~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080525
하트, 캬~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080525
홍게먹자, ㅋㅋㅋㅋ 감사합니다란 뜻인데 쇼호스트님 센스쟁이,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080546
퐁퐁, 태국커피방송 처음이에요~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080608
요알못, 카페는 정말 기계도 많고 복잡한데 이건 하나만 있으면 되겠어요 콜드브루 전문점 대박,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080608
퐁퐁, 태국여행 가구싶따 ㅠㅜ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080608
하트, 아포가토 해먹어도 맛있겠어요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080629
홍게먹자, 재밌어요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080629
홍게먹자, 아포가토 ㅜㅜ 하아~~~ 대박,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080629
홍게먹자, ㄷㄱㄷㄱㄷㄱㄷㄱㄷㄱ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080629
하트, 축하드려요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080629
퐁퐁, 으앙~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
홍게먹자, ♥️👏👏👏👏👏👏👏👏,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
퐁퐁, 👏🏻👏🏻👏🏻,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
홍게먹자, 어머낫 유후!!! 소리쥘러,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
whatwhat, 축하드려요!!!,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
홍게먹자, 감사합니다,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080650
퐁퐁, 홍게도머꾸 커피두머꾸 ㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080710
홍게먹자, ㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080710
퐁퐁, 둘다 머꾸싶따,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080710
수요일엔분리수거, 홍게 쏘세용~ :D,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080710
whatwhat, 홍게 드셔야 겠네요 ㅋㅋㅋ 커피랑 빵도,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080710
kooky33, 태국 원두 좋다는 얘기 들었어요.,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080731
요알못, ㅋㅋㅋㅋ축하드립니다 거기에 여러분들 많으신가봐요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080731
요알못, 태국원두 좋아요 평소에 비싸서 오더못하는 커피예용,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080731
brown, 스페셜티 커피~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080752
잘하자, 좋네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080752
퐁퐁, 오~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080752
홍게먹자, 마늘빵은 하나에 1700원꼴인가요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080813
퐁퐁, 그득그득~ 달달꼬소 마늘빵~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080813
퐁퐁, 육쪽마늘이에요?,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080834
눈누난나, 마늘빵도 한번에 양이 많아서 그런지 저렴하네요 한개당치면,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080834
퐁퐁, 아~~너무해~~ 두조합 못잃어요~~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080854
눈누난나, 오늘 쇼호스트님 잠 못주무실듯 ㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080854
눈누난나, 쇼호스트 극한 직업 ㅋㅋㅋㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080915
홍게먹자, ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080915
홍게먹자, 마카다미아 나무 그늘 캬~~~%%,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080915
퐁퐁, 저 커피마셔두 잠 잘자는데~~ 제가 대신마시께요~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080936
요알못, 커피는 직사광선보다는 그늘이 커피가 순하고 맛있어요 그걸 어찌 아시지? 대박,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080936
퐁퐁, 태국에 누워있구싶은....,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080936
홍게먹자, 와인이제 그만 ㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080956
퐁퐁, 커피타임이죠~~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080956
눈누난나, 설명이 쏙 쏙 들어와용,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_080956
퐁퐁, 커피가 와인보다 향 좋은데~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081017
눈누난나, 오 커피응원차~~~~ !!! 대박 아이디어,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081017
퐁퐁, 디스펜더 너무 신기술!!,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081017
아푸로, 콜드브루~좋아요~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081058
퐁퐁, 저는.칭구들이랑 모이는 커피만마시는데~~><,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081058
요알못, 와 새로운 커피 배우러 왔습니다 커피 소개 감사합니다,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081058
아푸로, 잘볼꼐요~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081119
퐁퐁, 너무 예쁜패킹~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081139
퐁퐁," 고급지구,맛있구~",☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081221
하트, 패키지도 세련됐네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081221
홍게먹자, 요 태국커피 공부 몇달간하신듯..정말커피를사랑하시거나ㅋㅋㅋ,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081221
퐁퐁, 태국커피 급 궁금해졌어요~~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081242
brown, 태국 스페셜티 맛있어요~,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081242
눈누난나, 태국커피 전 솔직히 처음들었는데 그렇게 좋다니 놀랍네요,☕_싸와디캅_도이랩_콜드브루_더치커피와_갈릭_디저트,2021-12-09_081302
