id,comment,program,time
유댕, 언니 바지 기모가 많이 두꺼운가요 ? ㅜㅜ 다리 두꺼워보이거나 안들어갈까봐 걱정이네여 ㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
you, 지금 입으신 바지는 흑청 날씬핏 바지인가요??,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
디수, 바지 입으신게 부츠컷인가영?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
야옹이, 흑청바지 많이두꺼운가요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
봉봉이, 투피스 지나갔나용?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 투피스는 아직이예요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 안나카라 퍼프소매니트 기장 많이짧을까요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
디수, 바지 사이즈에 따라서 길이도 다르나요??,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
유댕, 가디건 핑크랑소라중에 고민되네여 ㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 아까 잠깐입고 넘어가셔서요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 저도 가디건 색깔 다 맘에드네요 ㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 핑크에 더끌리기도 하네요 ㅎㅎ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 스커트도 착장해주심 감사합니다,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 롱스커트랑 어떨지궁금해요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 이거는 저는 브라운이더이쁜거같애요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
유댕, 소라색가디건 집에 있으니까 핑크로 할까봐여 ㅋㅋㅋ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
mtn, 베이지 입어봐주세영~ 롱치마랑 ~~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
새롭게시작, 키가 167 이상이면 상의 많이 짧을까요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 설명이 참 찰지시네요ㅋㅋ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
하늘이, 지난주 4개 주문했는데..,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 검은색플리츠가 낫겠는데요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
하늘이," 다 따로 배송왔어요., ㅋ",오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
하늘이, 오늘 오자마자 입고 출근..ㅋ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
유댕, 오,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
유댕, 예뻐염,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
꿈을꾼다, 생각보다 이쁘네요 어울리네요 ㅎㅎㅎ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
코코링, 니트가 귀여워요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
은하수80, 이쁜옷 넘 마나요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 상의밑단이 타이트하지 않아서 이쁘네요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
gounbeat, 구매각!!!,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060431
새롭게시작, 스커트 뒷모습도 보여주세용,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060452
yjs, 보들보들 안나카라 니트는 지나갔나요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060554
꿈을꾼다, 옷을 다 살수도없고 ㅋㅋ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060554
gounbeat, 12-6주무한 도톰따숩 밍크융기모 블랙부츠컷 팬츠 아직 배송준비중인데 언제올까요 담주부터 추워진다는데ㅠㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060554
꿈을꾼다, 안나카라는 지나갔어요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060636
yjs, 알려주셔서 감사해요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060657
민둘, 66반입을수있나요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060718
민둘, 스커트,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060718
꿈을꾼다, 언니들이 다 날씬하시니 다이쁜것같아요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060718
유댕, 소매퍼프러블리니트 블랙 - 치마 블랙 코디 보여주세용 ~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060759
유댕, 오 먹색이랑,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060759
꿈을꾼다, 지금 안나니트입고계십니다 블랙,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060820
하니, 좀 늦었어요~~^^,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060820
하니, 오늘 오조이 제품들 3개 연속 도착~~^^,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060840
새롭게시작, 밤색에 안나 상의 베이지 어울릴까요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060901
하니, 청바지만 2개 아직 안 옴~~^^;;; 얼른 왔으면...,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060901
꿈을꾼다, 끌리네요 하체를 이쁘게가려준다니 ㅜ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060922
블랙우먼, 허리 몇까지 편하게 입을수 있나용?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060922
민찬우영맘, 위에입으신옷 77가능한가요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_060922
새롭게시작, 네~ 감사합니다:),오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061045
꿈을꾼다, 안나베이지 이뻤는데,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061045
블랙우먼, 키가 어떻게 되세용??,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061045
블랙우먼, 키작녀라 ^^;;,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061106
꿈을꾼다, 저도 키작녀 ㅜ ㅜ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061126
새롭게시작, 직접 입어봐주셔서 감사합니다^^,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061229
lun, 흑청 날씬핏 스판 일자 부츠컷 데님 팬츠원단의 스키니데님 나오나요? 부츠안에 입을수 있는 바지,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061250
하잇, 슈어스판데님 허리28인데 힙이랑 골반 있어도 m사이즈 편할까요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061250
꿈을꾼다, 따뜻한가요??,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061331
marumi, 니트바지 설명은 끝났나요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061454
디어햄, 톡톡좀 보내지마세요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061536
야옹이, 블랙 기모바지 주문했눈데요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061536
야옹이, 배송운 언제하나요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061557
사지말고 입양하세요, 옆 모습 자세히보여주셩ㅅ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061659
사지말고 입양하세요, 와| 줄무늬 일정한것좀 봐바,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061741
사지말고 입양하세요, 줄무늬 라인 틀린거 극혐,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061802
bla, 기모일자부추컷 청바지 지나갔나요? 입어봐주시면 안될까요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061802
사지말고 입양하세요, 아~ 귀여워,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061823
도니, 겉감두 면혼방인가요? 면 100인가요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061904
뭉팀장, 그레이 입어주세용~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061925
미세스킴, 블루입어주세요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_061946
yes, 지금 바지는 흑청 일자 맞아요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062007
꿈을꾼다, 색상이쁘네요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062028
꿈을꾼다, 슬림해보여요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062028
아리, 예쁘네요~~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062048
프로, 소라컬러요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062109
yes, 아이보리 요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062130
미세스킴, 블루색입어봐주세요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062233
아리, 두께는 어떨까요? 코트나 자켓입으면 불편할까요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062253
아리, 네아이보리 부탁드려요~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062438
yes, ㄱ ㄱ ㅑ~~,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062601
꿈을꾼다, 청순미돋네요 아이보리,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062621
아리, 구매합니다 ㅎㅎㅎ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062621
yes, 모카 아이보리 고민중이요 ㅠㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062703
꿈을꾼다, 예스님 /색상이 다이뻐서 ㅎㅎㅎ 저도 나온거 다사고싶네요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062745
짱똘, 바지는 뭔가요? 흑청 일자??,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062929
쏘쏘, 바지예쁜데,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_062950
쏘쏘, 저도 다리살ㅠ,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063032
yes, 꿈을 꾼다님~~ 고르셨어요?^^,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063112
따스한 스웨터, 스판 허리밴딩바지 인가요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063112
yes, 바지는 흑청 일자라고요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063133
다둥이맘, 꿀벅지♡,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063133
다둥이맘, 키작녀도가능할까요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063256
다사줄게, 흑청은 신축성이 좀 덜한가요?,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063358
다둥이맘, 블랙시크함,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063440
시체굽는소녀, 168인데 바지길 짧지 않을까요,오늘도_가성비_좋은_니트_편한_기모_바지_라이브방송,2021-12-09_063521
