id,comment,program,time
yha, 다들 무슨색을 많이 구매셨나요??,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 15만이상,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
Fall in love, 저 지금 들어왔는데 바오바오 매트 백 좀 보여주세요… 화이트요,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 두 제품 15만원 장바구니에 담았는데 쿠폰이 안떠요,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 배송비 할인 안되고 붙는데요?,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 15만원 이하짜리 하나만 담는거랑 15만원 이상 담는거랑 할인되는게 없는데 저만 그런가요?,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 할인 안됨,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 확인좀 하시지 안되는데,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
Fall in love, 매트백 블랙과 네이비 품절이에용,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 15 이상 담아도 따로 할인 쿠폰 뜨거나 적용 되는게 없어요... 가격 그대로 결제됩니다..,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 눌렀어요ㅜㅜ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 쿠폰은 발급됐다는데,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 실제 적용이 안돼요,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 다 했는데,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 넴 받고 15이상인데  저만 그런가요?,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
독사, 안됩니다.,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 네..,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 힝,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
달콩이, 했어요ㅜ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
Fall in love," 배송비는 만원이고,, 할인도 만원이라서,, 결국 그대로에요!","［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
oli, 레이스셔츠 구김 많이 안가나요??,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
hime0529, 코튼가디건 블랙은 품절인가요???,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 저도 그냥 두 개 15만원 넘겼다가 장바구니 할인안되고 가격 같아서 그냥 버킷햇 하나만 했어요오,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 139600이랑 16900원 해도 할인되는거 없이 묶음배송비 만원 해서 162900원 나와서,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 넹넹 그래서 배송비 만원 빼구,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 스토어찜 쿠폰이 음 어찌설명드려야하지,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 버킷햇이 149600인데 만원 할인되서 139600원으로 적용되는거로 나와버려요!,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 하나만 사도 139600원인뎅,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 뭔가 오류인듯해용,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 저는 그래서 똑같길래 15이상할인 포기하구 버킷햇 하나만 ㅜㅜ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064116
로링, 캡쳐해서 설명드리구 싶당 흑흑 오류,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064219
로링, 앗 그럼 톡톡 드릴게요♡,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064300
냥냥이, 15만원안넘어도 만원할인이 돤데요,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064300
냥냥이, 뭔가 오류가생긴거같다는거 같은데 ㅡㅡㅋ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064424
로링, 넹♡ 엄청 친절하셔서 좋아여,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064505
로링, 저도 그게 느껴져서ㅜㅜ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064547
로링, 감기 얼른 나으세요♡ 전 버킷햇 일단 구매는 했는데 톡 드릴게용♡,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064628
레어, 10명에 들었으먼좋겠당 ㅋ,"［직구홈즈］이찌방깡_FW_의류,가방_특가_대전!_",2021-12-09_064649
