id,comment,program,time
물망초, ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
40짤주현, 주우우우우우웅현님 것 입니다.,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 최소 손가락만 사용하시네욬ㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 최소 손가락만 ㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
elizabeth, 강한부정은....,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
주노, 중현님 옷 아 담배,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 옷골이만 잡으셔 ㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 최대한 손닿지 않으려는 ㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 옷걸이만 ㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 버릴게요 래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 삐지신거 아녀요??,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 버릴게요..ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
주노, 남자들 담배냄세 정말 싫죠,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
원더우먼, 연무액 한통 얼마니 쓸수 있나요?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 중현님은 블랙이 잘 어울리십니다,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 블랙 입으세요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 블랙이 티 안나요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
여자하하, 오전에 저 옷을 입으신 분을 본것 같은데?!?!?!?!,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 버릴께요.래 ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
원더우먼, 대답좀,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 중현님 삐지신거같은뎅 ㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 연무액 한통에 얼마나 사용합니까~~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 2~3주요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
물망초, 2주...,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 라고 대리 질문...,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
원더우먼, 한번에 쓸때 한통씩 쓰나요?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
40짤주현, 아뇨 한통 다 못쓰세요 2-3분정도 연무한다고 생각하시면..... 2주정도 전 썼어요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
elizabeth, 다내가좋아하는오일들♡♡♡,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 팬더 대나무 먹지 않나용,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
H님, 제가 좋아하는 향만 모여 있네요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070142
챈챈, 아닌가 너무 애니메이션 인가 ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070200
H님, 엘리자베스님 찌찌뽕,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070200
H님, 하이파이브🤚,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070221
주노, 현정님도 소독차 세대군요 ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070302
물망초, 어흐 냄새 장난아님...,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070302
elizabeth, 🤚지금봤어욤,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070302
H님, 무선도 나오면 좋겠당..,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070302
물망초, 놀이터에서 놀고있으면 소독차 에휴..,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070323
H님, 차에 뿌리고 싶네요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070323
챈챈, 아하 …,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070343
여자하하, 아하!!!!,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070404
여자하하, 오늘 연무기 방송은 몇시까지예요?!,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070404
원더우먼, 코드 길이가 몇미터 인가요?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070425
40짤주현, 30분 더 하려고 동호님 지원갔습니다,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070445
주노, 동호님 오셨나요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070506
규섭맘, 안녕하세요! 아들래미랑 낮잠 자다 지금 들어왔네요~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
물망초, 동호님 나오나용,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
H님, 비움 스탠다드 마스크 광고마델님이시다,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
주노, ㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
여자하하, 감사합니다~~~~^^,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
챈챈, 리포터 ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070526
규섭맘, 반겨주셔서 감사합니다!,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
뷰니, 동호님 어서오세요~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
물망초, ㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
챈챈, 이불 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
H님, 규섭맘님 어서오세요~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
elizabeth, 👋👋👋,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070547
여자하하, 동호님 반갑습니다~~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070608
물망초, 반갑습니당 동호님,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070608
주노, 비흡연자가 흡연냄새에 민감하죠,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070608
챈챈, 동호님 안녕하세요 ㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070608
물망초, 리포터인가요~~~~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070628
주노, 동호님 반가워요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070628
H님, 이 옷은 누렇지 않아서 또 한번 의문에 1패...,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070649
챈챈, 양털 저것도 향 잘 배이잖아요 ㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070649
챈챈, H님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070710
40짤주현, 코드길이 몇이예요 ? 나 모르겠어요.....,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070710
물망초, ㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070710
챈챈, 의문의 1패래 .. ㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070710
주노, ㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070730
물망초, ㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070751
elizabeth, 세차장에서 뿌려주고 5000원받는데요 이거사서 부수입올려야징,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070751
챈챈, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
주노, 동호님만 좋아는 안무기,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
H님, 세차장에서 연무기도 뿌려줘요?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
챈챈, 혼자만 쓸라고 ㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
elizabeth, ㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070812
챈챈, 동호님 주무실듯 ㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
주노, ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
물망초, 주현언니랑 현정님은 아프대요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
뷰니, 같이 소독 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
챈챈, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.ㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
규섭맘, 동호님 안마의자 홍보중,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
H님, 말하는데 막 뿌림...,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
챈챈, 역시 세균맨 ..,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070832
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070853
챈챈, 동호님은 세균맨이라 .. ㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070853
40짤주현, 둘이 뭐하니?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070914
뷰니, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070914
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070914
여자하하, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲㅋㄱㄲㄲㄲㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070934
규섭맘, 동호님 연무기 많이 드셔서 아프시면 산재 인정되나요? ㅜ.ㅜ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070934
챈챈, 와 트와이스 나연이랑 투피엠 우영이다 ~~,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070934
챈챈, 산재 되녜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070955
물망초, ㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070955
H님, 나연이랑 세균맨 아니였어요?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070955
챈챈, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_070955
규섭맘, ㅋㅋㅋ 알겠습니다!,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071016
지원, 코드 길이가 몇미터에요~?,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071036
물망초, 어뜨케 빵터졌어 ㅠㅠㅠ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071036
40짤주현, 제발 코드길이 좀 알려주세요 고객님들 궁금해 하십니다.,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071036
H님, 이 정도면 모르시는 것 같은데,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071057
40짤주현, 너네 모르지? ......,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071057
물망초, 코드 길이가 궁금합니당,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071118
챈챈, 너네 모르짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 주현님 ㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071118
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071118
40짤주현, 손자로 재주시네요,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071118
40짤주현, 감으로,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071118
뷰니, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071139
40짤주현, 감으로 재주십니다.,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071139
물망초, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071139
뷰니, 너네 모르지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,🔥방역_소독기_초특가🔥_로이만_연무기_35%_할인!,2021-12-09_071139
